releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.slf4j:slf4j-api:1.1.0-beta0""",1158476815000,"""1.1.0-beta0""","""2006-09-17T07:06:55Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.1.0-RC1""",1163717307000,"""1.1.0-RC1""","""2006-11-16T22:48:27Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.1.0""",1166653906000,"""1.1.0""","""2006-12-20T22:31:46Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.2""",1169669800000,"""1.2""","""2007-01-24T20:16:40Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.3.0""",1172421568000,"""1.3.0""","""2007-02-25T16:39:28Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.3.1""",1176667715000,"""1.3.1""","""2007-04-15T20:08:35Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.4.0""",1179855625000,"""1.4.0""","""2007-05-22T17:40:25Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.4.1""",1183577351000,"""1.4.1""","""2007-07-04T19:29:11Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.4.2""",1184272124000,"""1.4.2""","""2007-07-12T20:28:44Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.4.3""",1187645728000,"""1.4.3""","""2007-08-20T21:35:28Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.0-M0""",1201642727000,"""1.5.0-M0""","""2008-01-29T21:38:47Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.0""",1204057172000,"""1.5.0""","""2008-02-26T20:19:32Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.2""",1213026359000,"""1.5.2""","""2008-06-09T15:45:59Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.3""",1221233780000,"""1.5.3""","""2008-09-12T15:36:20Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.4""",1224177546000,"""1.5.4""","""2008-10-16T17:19:06Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.5""",1224258869000,"""1.5.5""","""2008-10-17T15:54:29Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.6""",1227275795000,"""1.5.6""","""2008-11-21T13:56:35Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.7""",1244662728000,"""1.5.7""","""2009-06-10T19:38:48Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.8""",1244721480000,"""1.5.8""","""2009-06-11T11:58:00Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.9-RC0""",1252088697000,"""1.5.9-RC0""","""2009-09-04T18:24:57Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.9.RC1""",1256841423000,"""1.5.9.RC1""","""2009-10-29T18:37:03Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.10""",1259797034000,"""1.5.10""","""2009-12-02T23:37:14Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.5.11""",1267098643000,"""1.5.11""","""2010-02-25T11:50:43Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.0-RC0""",1271883753000,"""1.6.0-RC0""","""2010-04-21T21:02:33Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.0-alpha2""",1272259135000,"""1.6.0-alpha2""","""2010-04-26T05:18:55Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.0""",1273315526000,"""1.6.0""","""2010-05-08T10:45:26Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.1""",1278361761000,"""1.6.1""","""2010-07-05T20:29:21Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.2""",1313705583000,"""1.6.2""","""2011-08-18T22:13:03Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.3""",1318881317000,"""1.6.3""","""2011-10-17T19:55:17Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.4""",1320101137000,"""1.6.4""","""2011-10-31T22:45:37Z""",1,"[""junit:junit""]"
"""org.slf4j:slf4j-api:1.6.5""",1338790695000,"""1.6.5""","""2012-06-04T06:18:15Z""",1,"[""junit:junit""]"
