releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.mockito:mockito-core:1.3""",1209431898000,"""1.3""","""2008-04-29T01:18:18Z""",3,"[""cglib:cglib-nodep"", ""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis""]"
"""org.mockito:mockito-core:1.5""",1218378277000,"""1.5""","""2008-08-10T14:24:37Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.6""",1225845423000,"""1.6""","""2008-11-05T00:37:03Z""",3,"[""junit:junit"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.7""",1233213458000,"""1.7""","""2009-01-29T07:17:38Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.0-rc1""",1244652679000,"""1.8.0-rc1""","""2009-06-10T16:51:19Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.0-rc2""",1245360433000,"""1.8.0-rc2""","""2009-06-18T21:27:13Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.0""",1248381429000,"""1.8.0""","""2009-07-23T20:37:09Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.1-rc1""",1257952265000,"""1.8.1-rc1""","""2009-11-11T15:11:05Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.1""",1258843682000,"""1.8.1""","""2009-11-21T22:48:02Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.2""",1260635861000,"""1.8.2""","""2009-12-12T16:37:41Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.3""",1268001801000,"""1.8.3""","""2010-03-07T22:43:21Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.8.4""",1268861338000,"""1.8.4""","""2010-03-17T21:28:58Z""",2,"[""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis""]"
"""org.mockito:mockito-core:1.8.5""",1274812273000,"""1.8.5""","""2010-05-25T18:31:13Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.9.0-rc1""",1311864380000,"""1.9.0-rc1""","""2011-07-28T14:46:20Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.9.0""",1324344327000,"""1.9.0""","""2011-12-20T01:25:27Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.9.5-rc1""",1341047427000,"""1.9.5-rc1""","""2012-06-30T09:10:27Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.9.5""",1350209132000,"""1.9.5""","""2012-10-14T10:05:32Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.10.5""",1412623678000,"""1.10.5""","""2014-10-06T19:27:58Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.10.7""",1412794588000,"""1.10.7""","""2014-10-08T18:56:28Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.10.8""",1412972021000,"""1.10.8""","""2014-10-10T20:13:41Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.10.16""",1418600206000,"""1.10.16""","""2014-12-14T23:36:46Z""",2,"[""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis""]"
"""org.mockito:mockito-core:1.10.17""",1418686447000,"""1.10.17""","""2014-12-15T23:34:07Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
"""org.mockito:mockito-core:1.10.18""",1419924737000,"""1.10.18""","""2014-12-30T07:32:17Z""",2,"[""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core""]"
