releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.jetbrains.kotlin:kotlin-stdlib:0.0.2-test-deploy""",1373047705000,"""0.0.2-test-deploy""","""2013-07-05T18:08:25Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.5.998""",1373959024000,"""0.5.998""","""2013-07-16T07:17:04Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.5.1131""",1375795552000,"""0.5.1131""","""2013-08-06T13:25:52Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.22""",1376467066000,"""0.6.22""","""2013-08-14T07:57:46Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.31""",1376486246000,"""0.6.31""","""2013-08-14T13:17:26Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.69""",1377091909000,"""0.6.69""","""2013-08-21T13:31:49Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.179""",1378019892000,"""0.6.179""","""2013-09-01T07:18:12Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.317""",1378989831000,"""0.6.317""","""2013-09-12T12:43:51Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.350""",1379389183000,"""0.6.350""","""2013-09-17T03:39:43Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.594""",1380800026000,"""0.6.594""","""2013-10-03T11:33:46Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.602""",1380803586000,"""0.6.602""","""2013-10-03T12:33:06Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.786""",1381574202000,"""0.6.786""","""2013-10-12T10:36:42Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.800""",1381759567000,"""0.6.800""","""2013-10-14T14:06:07Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.912""",1382344707000,"""0.6.912""","""2013-10-21T08:38:27Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1070""",1382705759000,"""0.6.1070""","""2013-10-25T12:55:59Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1315""",1384174028000,"""0.6.1315""","""2013-11-11T12:47:08Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1411""",1384772997000,"""0.6.1411""","""2013-11-18T11:09:57Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1507""",1385368790000,"""0.6.1507""","""2013-11-25T08:39:50Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1590""",1385973363000,"""0.6.1590""","""2013-12-02T08:36:03Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1603""",1386010145000,"""0.6.1603""","""2013-12-02T18:49:05Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1617""",1386089616000,"""0.6.1617""","""2013-12-03T16:53:36Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1658""",1386319565000,"""0.6.1658""","""2013-12-06T08:46:05Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1670""",1386427771000,"""0.6.1670""","""2013-12-07T14:49:31Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1673""",1387185919000,"""0.6.1673""","""2013-12-16T09:25:19Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.1910""",1388064112000,"""0.6.1910""","""2013-12-26T13:21:52Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.2451""",1393335386000,"""0.6.2451""","""2014-02-25T13:36:26Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.6.2517""",1393855659000,"""0.6.2517""","""2014-03-03T14:07:39Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.7.5""",1393920565000,"""0.7.5""","""2014-03-04T08:09:25Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.7.86""",1394209241000,"""0.7.86""","""2014-03-07T16:20:41Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.7.115""",1394617180000,"""0.7.115""","""2014-03-12T09:39:40Z""",2,"[""org.jetbrains.kotlin:kotlin-runtime"", ""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.7.191""",1395147866000,"""0.7.191""","""2014-03-18T13:04:26Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
"""org.jetbrains.kotlin:kotlin-stdlib:0.7.258""",1395309976000,"""0.7.258""","""2014-03-20T10:06:16Z""",2,"[""junit:junit"", ""org.jetbrains.kotlin:kotlin-runtime""]"
