releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""ch.qos.logback:logback-classic:0.2.5""",1156351428000,"""0.2.5""","""2006-08-23T16:43:48Z""",3,"[""junit:junit"", ""ch.qos.logback:logback-core"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.3""",1158475799000,"""0.3""","""2006-09-17T06:49:59Z""",4,"[""junit:junit"", ""ch.qos.logback:logback-core"", ""javax.mail:mail"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.5""",1163106897000,"""0.5""","""2006-11-09T21:14:57Z""",8,"[""junit:junit"", ""ch.qos.logback:logback-core"", ""janino:janino"", ""hsqldb:hsqldb"", ""javax.mail:mail"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.6""",1164926567000,"""0.6""","""2006-11-30T22:42:47Z""",8,"[""ch.qos.logback:logback-core"", ""javax.mail:mail"", ""dom4j:dom4j"", ""hsqldb:hsqldb"", ""janino:janino"", ""junit:junit"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.7""",1166448460000,"""0.7""","""2006-12-18T13:27:40Z""",8,"[""janino:janino"", ""junit:junit"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.7.1""",1166537908000,"""0.7.1""","""2006-12-19T14:18:28Z""",8,"[""hsqldb:hsqldb"", ""javax.mail:mail"", ""dom4j:dom4j"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""junit:junit"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.8""",1168621932000,"""0.8""","""2007-01-12T17:12:12Z""",9,"[""javax.jms:jms"", ""junit:junit"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api""]"
"""ch.qos.logback:logback-classic:0.8.1""",1169562767000,"""0.8.1""","""2007-01-23T14:32:47Z""",9,"[""junit:junit"", ""org.slf4j:slf4j-api"", ""javax.mail:mail"", ""ch.qos.logback:logback-core"", ""janino:janino"", ""javax.jms:jms"", ""dom4j:dom4j"", ""hsqldb:hsqldb"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9""",1170250737000,"""0.9""","""2007-01-31T13:38:57Z""",10,"[""javax.servlet:servlet-api"", ""junit:junit"", ""janino:janino"", ""dom4j:dom4j"", ""javax.mail:mail"", ""ch.qos.logback:logback-core"", ""javax.jms:jms"", ""hsqldb:hsqldb"", ""ch.qos.logback:logback-core"", ""org.slf4j:slf4j-api""]"
"""ch.qos.logback:logback-classic:0.9.1""",1173092811000,"""0.9.1""","""2007-03-05T11:06:51Z""",10,"[""dom4j:dom4j"", ""javax.jms:jms"", ""janino:janino"", ""junit:junit"", ""javax.servlet:servlet-api"", ""ch.qos.logback:logback-core"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.2""",1173095547000,"""0.9.2""","""2007-03-05T11:52:27Z""",10,"[""junit:junit"", ""ch.qos.logback:logback-core"", ""janino:janino"", ""org.slf4j:slf4j-api"", ""javax.servlet:servlet-api"", ""javax.jms:jms"", ""dom4j:dom4j"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.3""",1174398578000,"""0.9.3""","""2007-03-20T13:49:38Z""",10,"[""org.slf4j:slf4j-api"", ""javax.mail:mail"", ""javax.servlet:servlet-api"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""javax.jms:jms"", ""junit:junit"", ""hsqldb:hsqldb"", ""dom4j:dom4j"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.4""",1175184140000,"""0.9.4""","""2007-03-29T16:02:20Z""",10,"[""javax.mail:mail"", ""junit:junit"", ""janino:janino"", ""javax.jms:jms"", ""ch.qos.logback:logback-core"", ""javax.servlet:servlet-api"", ""dom4j:dom4j"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.5""",1175542861000,"""0.9.5""","""2007-04-02T19:41:01Z""",10,"[""javax.jms:jms"", ""junit:junit"", ""javax.servlet:servlet-api"", ""hsqldb:hsqldb"", ""javax.mail:mail"", ""ch.qos.logback:logback-core"", ""janino:janino"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.6""",1180030341000,"""0.9.6""","""2007-05-24T18:12:21Z""",10,"[""junit:junit"", ""javax.jms:jms"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""javax.servlet:servlet-api"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.7""",1180466915000,"""0.9.7""","""2007-05-29T19:28:35Z""",10,"[""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""janino:janino"", ""javax.servlet:servlet-api"", ""javax.mail:mail"", ""junit:junit"", ""javax.jms:jms"", ""org.slf4j:slf4j-api"", ""hsqldb:hsqldb"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.8""",1187812051000,"""0.9.8""","""2007-08-22T19:47:31Z""",10,"[""javax.mail:mail"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""javax.servlet:servlet-api"", ""javax.jms:jms"", ""junit:junit"", ""hsqldb:hsqldb"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.9""",1206566590000,"""0.9.9""","""2008-03-26T21:23:10Z""",11,"[""javax.servlet:servlet-api"", ""dom4j:dom4j"", ""ch.qos.logback:logback-core"", ""ch.qos.logback:logback-core"", ""janino:janino"", ""javax.jms:jms"", ""junit:junit"", ""org.slf4j:log4j-over-slf4j"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api""]"
"""ch.qos.logback:logback-classic:0.9.10""",1225139727000,"""0.9.10""","""2008-10-27T20:35:27Z""",14,"[""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""org.subethamail:subethasmtp"", ""janino:janino"", ""javax.servlet:servlet-api"", ""ch.qos.logback:logback-core"", ""junit:junit"", ""com.icegreen:greenmail"", ""javax.mail:mail"", ""org.slf4j:slf4j-api"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api"", ""dom4j:dom4j"", ""org.slf4j:log4j-over-slf4j"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.11""",1225190062000,"""0.9.11""","""2008-10-28T10:34:22Z""",14,"[""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""dom4j:dom4j"", ""hsqldb:hsqldb"", ""ch.qos.logback:logback-core"", ""javax.servlet:servlet-api"", ""javax.mail:mail"", ""com.icegreen:greenmail"", ""org.slf4j:slf4j-api"", ""junit:junit"", ""org.subethamail:subethasmtp"", ""org.slf4j:log4j-over-slf4j"", ""janino:janino"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.12""",1228430952000,"""0.9.12""","""2008-12-04T22:49:12Z""",15,"[""ch.qos.logback:logback-core"", ""org.slf4j:log4j-over-slf4j"", ""javax.servlet:servlet-api"", ""org.subethamail:subethasmtp"", ""dom4j:dom4j"", ""com.icegreen:greenmail"", ""ch.qos.logback:logback-core"", ""junit:junit"", ""janino:janino"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-ext"", ""javax.mail:mail"", ""org.slf4j:slf4j-api"", ""org.slf4j:slf4j-api""]"
"""ch.qos.logback:logback-classic:0.9.13""",1228472639000,"""0.9.13""","""2008-12-05T10:23:59Z""",15,"[""javax.servlet:servlet-api"", ""org.subethamail:subethasmtp"", ""javax.mail:mail"", ""hsqldb:hsqldb"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""janino:janino"", ""org.slf4j:log4j-over-slf4j"", ""junit:junit"", ""com.icegreen:greenmail"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""org.slf4j:slf4j-ext"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.14""",1230569960000,"""0.9.14""","""2008-12-29T16:59:20Z""",15,"[""junit:junit"", ""hsqldb:hsqldb"", ""org.slf4j:log4j-over-slf4j"", ""org.subethamail:subethasmtp"", ""com.icegreen:greenmail"", ""janino:janino"", ""org.slf4j:slf4j-ext"", ""ch.qos.logback:logback-core"", ""javax.servlet:servlet-api"", ""javax.mail:mail"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.15""",1234479636000,"""0.9.15""","""2009-02-12T23:00:36Z""",15,"[""org.subethamail:subethasmtp"", ""hsqldb:hsqldb"", ""com.icegreen:greenmail"", ""javax.mail:mail"", ""org.slf4j:slf4j-api"", ""junit:junit"", ""javax.servlet:servlet-api"", ""dom4j:dom4j"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""org.slf4j:slf4j-ext"", ""org.slf4j:log4j-over-slf4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.16""",1247824414000,"""0.9.16""","""2009-07-17T09:53:34Z""",16,"[""junit:junit"", ""hsqldb:hsqldb"", ""joda-time:joda-time"", ""javax.mail:mail"", ""org.slf4j:slf4j-ext"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""org.subethamail:subethasmtp"", ""com.icegreen:greenmail"", ""javax.servlet:servlet-api"", ""janino:janino"", ""org.slf4j:log4j-over-slf4j"", ""org.slf4j:slf4j-api"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.17""",1249844743000,"""0.9.17""","""2009-08-09T19:05:43Z""",16,"[""junit:junit"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""joda-time:joda-time"", ""javax.mail:mail"", ""org.slf4j:slf4j-api"", ""hsqldb:hsqldb"", ""org.subethamail:subethasmtp"", ""com.icegreen:greenmail"", ""org.slf4j:log4j-over-slf4j"", ""javax.servlet:servlet-api"", ""janino:janino"", ""ch.qos.logback:logback-core"", ""org.slf4j:slf4j-ext"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.18""",1259872903000,"""0.9.18""","""2009-12-03T20:41:43Z""",18,"[""com.icegreen:greenmail"", ""janino:janino"", ""javax.servlet:servlet-api"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""ch.qos.logback:logback-core"", ""dom4j:dom4j"", ""joda-time:joda-time"", ""org.slf4j:log4j-over-slf4j"", ""junit:junit"", ""org.apache.felix:org.apache.felix.main"", ""javax.mail:mail"", ""org.subethamail:subethasmtp"", ""org.slf4j:slf4j-api"", ""org.slf4j:integration"", ""org.slf4j:slf4j-ext"", ""hsqldb:hsqldb"", ""org.slf4j:slf4j-api"", ""ch.qos.logback:logback-core""]"
"""ch.qos.logback:logback-classic:0.9.19""",1269460305000,"""0.9.19""","""2010-03-24T19:51:45Z""",21,"[""hsqldb:hsqldb"", ""mysql:mysql-connector-java"", ""ch.qos.logback:logback-core"", ""com.icegreen:greenmail"", ""org.apache.geronimo.specs:geronimo-jms_1.1_spec"", ""javax.servlet:servlet-api"", ""org.slf4j:slf4j-api"", ""javax.mail:mail"", ""junit:junit"", ""org.apache.felix:org.apache.felix.main"", ""org.subethamail:subethasmtp"", ""joda-time:joda-time"", ""janino:janino"", ""org.slf4j:integration"", ""org.slf4j:log4j-over-slf4j"", ""com.h2database:h2"", ""postgresql:postgresql"", ""dom4j:dom4j"", ""org.slf4j:slf4j-api"", ""org.slf4j:slf4j-ext"", ""ch.qos.logback:logback-core""]"
