releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.0""",1488359710000,"""1.1.0""","""2017-03-01T09:15:10Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.1""",1489491832000,"""1.1.1""","""2017-03-14T11:43:52Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.2""",1493135420000,"""1.1.2""","""2017-04-25T15:50:20Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.2-2""",1493380589000,"""1.1.2-2""","""2017-04-28T11:56:29Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.2-3""",1493896278000,"""1.1.2-3""","""2017-05-04T11:11:18Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.2-4""",1495051177000,"""1.1.2-4""","""2017-05-17T19:59:37Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.1.2-5""",1496990885000,"""1.1.2-5""","""2017-06-09T06:48:05Z""",1,"[""junit:junit""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.20""",1516126865000,"""1.2.20""","""2018-01-16T18:21:05Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.21""",1516712371000,"""1.2.21""","""2018-01-23T12:59:31Z""",2,"[""org.jetbrains.kotlin:kotlin-test-common"", ""org.jetbrains.kotlin:kotlin-test-annotations-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.30""",1519837983000,"""1.2.30""","""2018-02-28T17:13:03Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.31""",1521738821000,"""1.2.31""","""2018-03-22T17:13:41Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.40""",1524143605000,"""1.2.40""","""2018-04-19T13:13:25Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.41""",1524794206000,"""1.2.41""","""2018-04-27T01:56:46Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.50""",1528897543000,"""1.2.50""","""2018-06-13T13:45:43Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.51""",1530602825000,"""1.2.51""","""2018-07-03T07:27:05Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.60""",1533133748000,"""1.2.60""","""2018-08-01T14:29:08Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.61""",1534517014000,"""1.2.61""","""2018-08-17T14:43:34Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:0.9.0-native""",1536065337000,"""0.9.0-native""","""2018-09-04T12:48:57Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.70""",1536750347000,"""1.2.70""","""2018-09-12T11:05:47Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:0.9.1-native""",1536846497000,"""0.9.1-native""","""2018-09-13T13:48:17Z""",2,"[""org.jetbrains.kotlin:kotlin-test-annotations-common"", ""org.jetbrains.kotlin:kotlin-test-common""]"
"""org.jetbrains.kotlin:kotlin-stdlib-common:1.2.71""",1537783650000,"""1.2.71""","""2018-09-24T10:07:30Z""",2,"[""org.jetbrains.kotlin:kotlin-test-common"", ""org.jetbrains.kotlin:kotlin-test-annotations-common""]"
