releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""com.google.guava:guava:r03""",1272287165000,"""r03""","""2010-04-26T13:06:05Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:r05""",1275417119000,"""r05""","""2010-06-01T18:31:59Z""",2,"[""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:r06""",1278625365000,"""r06""","""2010-07-08T21:42:45Z""",2,"[""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:r07""",1285355779000,"""r07""","""2010-09-24T19:16:19Z""",2,"[""com.google.code.findbugs:jsr305"", ""junit:junit""]"
"""com.google.guava:guava:r08""",1296510434000,"""r08""","""2011-01-31T21:47:14Z""",2,"[""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:r09""",1302274800000,"""r09""","""2011-04-08T15:00:00Z""",2,"[""com.google.code.findbugs:jsr305"", ""junit:junit""]"
"""com.google.guava:guava:10.0-rc1""",1315574009000,"""10.0-rc1""","""2011-09-09T13:13:29Z""",3,"[""junit:junit"", ""com.google.guava:guava-bootstrap"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:10.0-rc2""",1316453536000,"""10.0-rc2""","""2011-09-19T17:32:16Z""",3,"[""junit:junit"", ""com.google.guava:guava-bootstrap"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:10.0-rc3""",1316800447000,"""10.0-rc3""","""2011-09-23T17:54:07Z""",3,"[""com.google.guava:guava-bootstrap"", ""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:10.0""",1317225875000,"""10.0""","""2011-09-28T16:04:35Z""",3,"[""com.google.code.findbugs:jsr305"", ""junit:junit"", ""com.google.guava:guava-bootstrap""]"
"""com.google.guava:guava:10.0.1""",1318257897000,"""10.0.1""","""2011-10-10T14:44:57Z""",3,"[""com.google.guava:guava-bootstrap"", ""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:11.0-rc1""",1323892400000,"""11.0-rc1""","""2011-12-14T19:53:20Z""",3,"[""junit:junit"", ""com.google.guava:guava-bootstrap"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:11.0""",1324242284000,"""11.0""","""2011-12-18T21:04:44Z""",3,"[""junit:junit"", ""com.google.guava:guava-bootstrap"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:11.0.1""",1326133932000,"""11.0.1""","""2012-01-09T18:32:12Z""",3,"[""com.google.guava:guava-bootstrap"", ""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:11.0.2""",1329919336000,"""11.0.2""","""2012-02-22T14:02:16Z""",3,"[""com.google.guava:guava-bootstrap"", ""junit:junit"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:12.0-rc1""",1333116981000,"""12.0-rc1""","""2012-03-30T14:16:21Z""",3,"[""junit:junit"", ""com.google.guava:guava-bootstrap"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:12.0-rc2""",1334666999000,"""12.0-rc2""","""2012-04-17T12:49:59Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:12.0""",1335811336000,"""12.0""","""2012-04-30T18:42:16Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:13.0-rc1""",1340743444000,"""13.0-rc1""","""2012-06-26T20:44:04Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:12.0.1""",1341921421000,"""12.0.1""","""2012-07-10T11:57:01Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:13.0-rc2""",1342813401000,"""13.0-rc2""","""2012-07-20T19:43:21Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:13.0""",1343939446000,"""13.0""","""2012-08-02T20:30:46Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:13.0.1""",1346167646000,"""13.0.1""","""2012-08-28T15:27:26Z""",1,"[""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:14.0-rc1""",1355516804000,"""14.0-rc1""","""2012-12-14T20:26:44Z""",2,"[""javax.inject:javax.inject"", ""com.google.code.findbugs:jsr305""]"
"""com.google.guava:guava:14.0-rc2""",1358452615000,"""14.0-rc2""","""2013-01-17T19:56:55Z""",2,"[""javax.inject:javax.inject"", ""com.google.code.findbugs:jsr305""]"
