releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.apache.commons:commons-lang3:3.0""",1311046565000,"""3.0""","""2011-07-19T03:36:05Z""",2,"[""org.easymock:easymock"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.0.1""",1312947886000,"""3.0.1""","""2011-08-10T03:44:46Z""",3,"[""junit:junit"", ""org.easymock:easymock"", ""commons-io:commons-io""]"
"""org.apache.commons:commons-lang3:3.1""",1321342025000,"""3.1""","""2011-11-15T07:27:05Z""",3,"[""org.easymock:easymock"", ""commons-io:commons-io"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.2""",1388250394000,"""3.2""","""2013-12-28T17:06:34Z""",3,"[""commons-io:commons-io"", ""org.easymock:easymock"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.2.1""",1388941316000,"""3.2.1""","""2014-01-05T17:01:56Z""",3,"[""org.easymock:easymock"", ""commons-io:commons-io"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.3""",1393578489000,"""3.3""","""2014-02-28T09:08:09Z""",3,"[""org.easymock:easymock"", ""junit:junit"", ""commons-io:commons-io""]"
"""org.apache.commons:commons-lang3:3.3.1""",1394888674000,"""3.3.1""","""2014-03-15T13:04:34Z""",3,"[""org.easymock:easymock"", ""commons-io:commons-io"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.3.2""",1396786889000,"""3.3.2""","""2014-04-06T12:21:29Z""",3,"[""commons-io:commons-io"", ""org.easymock:easymock"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.4""",1428064266000,"""3.4""","""2015-04-03T12:31:06Z""",4,"[""commons-io:commons-io"", ""org.hamcrest:hamcrest-all"", ""org.easymock:easymock"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.5""",1476388419000,"""3.5""","""2016-10-13T19:53:39Z""",4,"[""commons-io:commons-io"", ""org.easymock:easymock"", ""junit:junit"", ""org.hamcrest:hamcrest-all""]"
"""org.apache.commons:commons-lang3:3.6""",1497001263000,"""3.6""","""2017-06-09T09:41:03Z""",6,"[""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.apache.bcel:bcel"", ""org.easymock:easymock"", ""org.hamcrest:hamcrest-all"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.7""",1509819374000,"""3.7""","""2017-11-04T18:16:14Z""",5,"[""org.easymock:easymock"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.hamcrest:hamcrest-all"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.8""",1534383430000,"""3.8""","""2018-08-16T01:37:10Z""",5,"[""org.easymock:easymock"", ""org.hamcrest:hamcrest-all"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.8.1""",1537370669000,"""3.8.1""","""2018-09-19T15:24:29Z""",5,"[""org.easymock:easymock"", ""org.openjdk.jmh:jmh-core"", ""org.hamcrest:hamcrest-all"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""junit:junit""]"
"""org.apache.commons:commons-lang3:3.9""",1554946238000,"""3.9""","""2019-04-11T01:30:38Z""",6,"[""org.easymock:easymock"", ""org.openjdk.jmh:jmh-core"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.junit-pioneer:junit-pioneer"", ""org.hamcrest:hamcrest"", ""org.junit.jupiter:junit-jupiter""]"
"""org.apache.commons:commons-lang3:3.10""",1584970775000,"""3.10""","""2020-03-23T13:39:35Z""",6,"[""org.hamcrest:hamcrest"", ""org.easymock:easymock"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.junit.jupiter:junit-jupiter"", ""org.junit-pioneer:junit-pioneer""]"
"""org.apache.commons:commons-lang3:3.11""",1594560720000,"""3.11""","""2020-07-12T13:32:00Z""",6,"[""org.junit-pioneer:junit-pioneer"", ""org.easymock:easymock"", ""org.openjdk.jmh:jmh-core"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.hamcrest:hamcrest"", ""org.junit.jupiter:junit-jupiter""]"
