releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M1""",1467882337000,"""5.0.0-M1""","""2016-07-07T09:05:37Z""",10,"[""org.apache.logging.log4j:log4j-core"", ""org.junit.platform:junit-platform-console"", ""org.mockito:mockito-core"", ""org.junit.platform:junit-platform-runner"", ""org.apache.logging.log4j:log4j-jul"", ""org.junit.platform:junit-platform-engine"", ""org.assertj:assertj-core"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M2""",1469297676000,"""5.0.0-M2""","""2016-07-23T18:14:36Z""",10,"[""org.junit.platform:junit-platform-console"", ""org.apache.logging.log4j:log4j-core"", ""org.apache.logging.log4j:log4j-jul"", ""org.mockito:mockito-core"", ""org.junit.platform:junit-platform-runner"", ""org.assertj:assertj-core"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.platform:junit-platform-engine"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M3""",1480496751000,"""5.0.0-M3""","""2016-11-30T09:05:51Z""",10,"[""org.junit.platform:junit-platform-runner"", ""org.junit.platform:junit-platform-engine"", ""org.assertj:assertj-core"", ""org.mockito:mockito-core"", ""org.apache.logging.log4j:log4j-jul"", ""org.apache.logging.log4j:log4j-core"", ""org.junit.platform:junit-platform-console"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M4""",1491074609000,"""5.0.0-M4""","""2017-04-01T19:23:29Z""",7,"[""org.assertj:assertj-core"", ""org.mockito:mockito-core"", ""org.junit.platform:junit-platform-engine"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-runner"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M5""",1499186357000,"""5.0.0-M5""","""2017-07-04T16:39:17Z""",7,"[""org.junit.platform:junit-platform-engine"", ""org.junit.platform:junit-platform-runner"", ""org.mockito:mockito-core"", ""org.assertj:assertj-core"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-M6""",1500406058000,"""5.0.0-M6""","""2017-07-18T19:27:38Z""",7,"[""org.junit.platform:junit-platform-runner"", ""org.mockito:mockito-core"", ""org.junit.platform:junit-platform-engine"", ""org.assertj:assertj-core"", ""org.junit.platform:junit-platform-launcher"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-RC2""",1501447023000,"""5.0.0-RC2""","""2017-07-30T20:37:03Z""",2,"[""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0-RC3""",1503513686000,"""5.0.0-RC3""","""2017-08-23T18:41:26Z""",2,"[""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.0""",1505066954000,"""5.0.0""","""2017-09-10T18:09:14Z""",3,"[""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine"", ""org.apiguardian:apiguardian-api""]"
"""org.junit.jupiter:junit-jupiter-engine:5.0.1""",1507033672000,"""5.0.1""","""2017-10-03T12:27:52Z""",3,"[""org.apiguardian:apiguardian-api"", ""org.junit.jupiter:junit-jupiter-api"", ""org.junit.platform:junit-platform-engine""]"
