releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""commons-io:commons-io:1.0""",1132682967000,"""1.0""","""2005-11-22T18:09:27Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.1""",1132682967000,"""1.1""","""2005-11-22T18:09:27Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.2""",1142818275000,"""1.2""","""2006-03-20T01:31:15Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.3""",1170196648000,"""1.3""","""2007-01-30T22:37:28Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.3.1""",1171391517000,"""1.3.1""","""2007-02-13T18:31:57Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.3.2""",1199221234000,"""1.3.2""","""2008-01-01T21:00:34Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:1.4""",1200861858000,"""1.4""","""2008-01-20T20:44:18Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.0""",1287431491000,"""2.0""","""2010-10-18T19:51:31Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.0.1""",1293383971000,"""2.0.1""","""2010-12-26T17:19:31Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.1""",1317677556000,"""2.1""","""2011-10-03T21:32:36Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.2""",1332774876000,"""2.2""","""2012-03-26T15:14:36Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.3""",1334070762000,"""2.3""","""2012-04-10T15:12:42Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.4""",1339539723000,"""2.4""","""2012-06-12T22:22:03Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.5""",1461336756000,"""2.5""","""2016-04-22T14:52:36Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.6""",1508061650000,"""2.6""","""2017-10-15T10:00:50Z""",1,"[""junit:junit""]"
"""commons-io:commons-io:2.7""",1590351054000,"""2.7""","""2020-05-24T20:10:54Z""",5,"[""org.apache.commons:commons-lang3"", ""org.junit-pioneer:junit-pioneer"", ""org.mockito:mockito-core"", ""com.google.jimfs:jimfs"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.8.0""",1599400493000,"""2.8.0""","""2020-09-06T13:54:53Z""",5,"[""org.apache.commons:commons-lang3"", ""org.mockito:mockito-core"", ""com.google.jimfs:jimfs"", ""org.junit-pioneer:junit-pioneer"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.9.0""",1621702556000,"""2.9.0""","""2021-05-22T16:55:56Z""",7,"[""org.openjdk.jmh:jmh-core"", ""org.junit-pioneer:junit-pioneer"", ""org.apache.commons:commons-lang3"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""com.google.jimfs:jimfs"", ""org.mockito:mockito-inline"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.10.0""",1623329019000,"""2.10.0""","""2021-06-10T12:43:39Z""",7,"[""org.junit-pioneer:junit-pioneer"", ""org.mockito:mockito-inline"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.apache.commons:commons-lang3"", ""com.google.jimfs:jimfs"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.11.0""",1625881379000,"""2.11.0""","""2021-07-10T01:42:59Z""",7,"[""org.junit-pioneer:junit-pioneer"", ""com.google.jimfs:jimfs"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.mockito:mockito-inline"", ""org.apache.commons:commons-lang3"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.12.0""",1683990655000,"""2.12.0""","""2023-05-13T15:10:55Z""",7,"[""org.junit.jupiter:junit-jupiter"", ""org.openjdk.jmh:jmh-core"", ""com.google.jimfs:jimfs"", ""org.apache.commons:commons-lang3"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.mockito:mockito-inline"", ""org.junit-pioneer:junit-pioneer""]"
"""commons-io:commons-io:2.13.0""",1685810368000,"""2.13.0""","""2023-06-03T16:39:28Z""",7,"[""org.apache.commons:commons-lang3"", ""org.openjdk.jmh:jmh-core"", ""org.junit.jupiter:junit-jupiter"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""com.google.jimfs:jimfs"", ""org.mockito:mockito-inline"", ""org.junit-pioneer:junit-pioneer""]"
"""commons-io:commons-io:2.14.0""",1695639113000,"""2.14.0""","""2023-09-25T10:51:53Z""",7,"[""org.openjdk.jmh:jmh-core"", ""org.junit-pioneer:junit-pioneer"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""com.google.jimfs:jimfs"", ""org.apache.commons:commons-lang3"", ""org.mockito:mockito-inline"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.15.0""",1697914769000,"""2.15.0""","""2023-10-21T18:59:29Z""",10,"[""net.bytebuddy:byte-buddy-agent"", ""com.google.jimfs:jimfs"", ""org.mockito:mockito-inline"", ""org.apache.commons:commons-lang3"", ""commons-codec:commons-codec"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""net.bytebuddy:byte-buddy"", ""org.junit.jupiter:junit-jupiter"", ""org.junit-pioneer:junit-pioneer""]"
"""commons-io:commons-io:2.15.1""",1700843306000,"""2.15.1""","""2023-11-24T16:28:26Z""",10,"[""org.junit.jupiter:junit-jupiter"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""net.bytebuddy:byte-buddy-agent"", ""org.openjdk.jmh:jmh-core"", ""org.apache.commons:commons-lang3"", ""org.mockito:mockito-inline"", ""commons-codec:commons-codec"", ""com.google.jimfs:jimfs"", ""net.bytebuddy:byte-buddy"", ""org.junit-pioneer:junit-pioneer""]"
"""commons-io:commons-io:2.16.0""",1711374024000,"""2.16.0""","""2024-03-25T13:40:24Z""",10,"[""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""net.bytebuddy:byte-buddy"", ""org.mockito:mockito-inline"", ""commons-codec:commons-codec"", ""com.google.jimfs:jimfs"", ""net.bytebuddy:byte-buddy-agent"", ""org.apache.commons:commons-lang3"", ""org.junit-pioneer:junit-pioneer"", ""org.junit.jupiter:junit-jupiter""]"
"""commons-io:commons-io:2.16.1""",1712280336000,"""2.16.1""","""2024-04-05T01:25:36Z""",10,"[""org.junit-pioneer:junit-pioneer"", ""org.openjdk.jmh:jmh-generator-annprocess"", ""org.openjdk.jmh:jmh-core"", ""org.apache.commons:commons-lang3"", ""commons-codec:commons-codec"", ""org.mockito:mockito-inline"", ""org.junit.jupiter:junit-jupiter"", ""com.google.jimfs:jimfs"", ""net.bytebuddy:byte-buddy-agent"", ""net.bytebuddy:byte-buddy""]"
