releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""com.sun.xml.bind:jaxb-impl:2.0""",1148379212000,"""2.0""","""2006-05-23T10:13:32Z""",1,"[""javax.xml:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.0.1""",1150493442000,"""2.0.1""","""2006-06-16T21:30:42Z""",1,"[""javax.xml:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:1.0.6""",1151535012000,"""1.0.6""","""2006-06-28T22:50:12Z""",2,"[""com.sun.xml.bind:jaxb-libs"", ""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1-EA1""",1158366773000,"""2.1-EA1""","""2006-09-16T00:32:53Z""",3,"[""javax.activation:activation"", ""javax.xml.bind:jsr173_api"", ""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.0.2""",1160838336000,"""2.0.2""","""2006-10-14T15:05:36Z""",3,"[""javax.xml.bind:jaxb-api"", ""javax.activation:activation"", ""javax.xml.bind:jsr173_api""]"
"""com.sun.xml.bind:jaxb-impl:2.0.3""",1160838336000,"""2.0.3""","""2006-10-14T15:05:36Z""",3,"[""javax.xml.bind:jsr173_api"", ""javax.activation:activation"", ""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.0.4""",1163632710000,"""2.0.4""","""2006-11-15T23:18:30Z""",3,"[""javax.xml.bind:jsr173_api"", ""javax.activation:activation"", ""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1-EA2""",1163638081000,"""2.1-EA2""","""2006-11-16T00:48:01Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1""",1166041898000,"""2.1""","""2006-12-13T20:31:38Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.1""",1169502450000,"""2.1.1""","""2007-01-22T21:47:30Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.0.5""",1169503872000,"""2.0.5""","""2007-01-22T22:11:12Z""",3,"[""javax.xml.bind:jsr173_api"", ""javax.activation:activation"", ""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.2""",1169757420000,"""2.1.2""","""2007-01-25T20:37:00Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.4""",1184181880000,"""2.1.4""","""2007-07-11T19:24:40Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.5""",1190075429000,"""2.1.5""","""2007-09-18T00:30:29Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.3""",1191224932000,"""2.1.3""","""2007-10-01T07:48:52Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.6""",1223084956000,"""2.1.6""","""2008-10-04T01:49:16Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.7""",1223084979000,"""2.1.7""","""2008-10-04T01:49:39Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.8""",1223084997000,"""2.1.8""","""2008-10-04T01:49:57Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.9""",1225480091000,"""2.1.9""","""2008-10-31T19:08:11Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-b1""",1236779781000,"""2.2-b1""","""2009-03-11T13:56:21Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b3""",1236780018000,"""2.2-promoted-b3""","""2009-03-11T14:00:18Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b6""",1236790518000,"""2.2-promoted-b6""","""2009-03-11T16:55:18Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b7""",1236791867000,"""2.2-promoted-b7""","""2009-03-11T17:17:47Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b8""",1236791868000,"""2.2-promoted-b8""","""2009-03-11T17:17:48Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b9""",1236928591000,"""2.2-promoted-b9""","""2009-03-13T07:16:31Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b10""",1237891050000,"""2.2-promoted-b10""","""2009-03-24T10:37:30Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.1.10""",1237941032000,"""2.1.10""","""2009-03-25T00:30:32Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b11""",1237980077000,"""2.2-promoted-b11""","""2009-03-25T11:21:17Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b12""",1237986270000,"""2.2-promoted-b12""","""2009-03-25T13:04:30Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b13""",1238138359000,"""2.2-promoted-b13""","""2009-03-27T07:19:19Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b14""",1238742959000,"""2.2-promoted-b14""","""2009-04-03T07:15:59Z""",1,"[""javax.xml.bind:jaxb-api""]"
"""com.sun.xml.bind:jaxb-impl:2.2-promoted-b15""",1239035684000,"""2.2-promoted-b15""","""2009-04-06T16:34:44Z""",1,"[""javax.xml.bind:jaxb-api""]"
