releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""io.netty:netty-handler:4.0.0.Alpha1""",1341930275000,"""4.0.0.Alpha1""","""2012-07-10T14:24:35Z""",7,"[""org.easymock:easymockclassextension"", ""org.slf4j:slf4j-simple"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""junit:junit"", ""org.easymock:easymock"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Alpha2""",1345531748000,"""4.0.0.Alpha2""","""2012-08-21T06:49:08Z""",7,"[""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""org.slf4j:slf4j-simple"", ""junit:junit"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Alpha3""",1346315026000,"""4.0.0.Alpha3""","""2012-08-30T08:23:46Z""",7,"[""org.easymock:easymock"", ""junit:junit"", ""org.jmock:jmock-junit4"", ""org.slf4j:slf4j-simple"", ""org.easymock:easymockclassextension"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Alpha4""",1347526070000,"""4.0.0.Alpha4""","""2012-09-13T08:47:50Z""",7,"[""org.slf4j:slf4j-simple"", ""org.jmock:jmock-junit4"", ""io.netty:netty-buffer"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""junit:junit"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.0.Alpha5""",1348823264000,"""4.0.0.Alpha5""","""2012-09-28T09:07:44Z""",7,"[""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""junit:junit"", ""org.easymock:easymockclassextension"", ""org.slf4j:slf4j-simple"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Alpha6""",1351446502000,"""4.0.0.Alpha6""","""2012-10-28T17:48:22Z""",7,"[""org.slf4j:slf4j-simple"", ""org.jmock:jmock-junit4"", ""junit:junit"", ""io.netty:netty-transport"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Alpha7""",1352196424000,"""4.0.0.Alpha7""","""2012-11-06T10:07:04Z""",7,"[""org.easymock:easymockclassextension"", ""org.slf4j:slf4j-simple"", ""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""junit:junit"", ""io.netty:netty-buffer"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.0.Alpha8""",1354564537000,"""4.0.0.Alpha8""","""2012-12-03T19:55:37Z""",7,"[""org.easymock:easymockclassextension"", ""junit:junit"", ""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""org.slf4j:slf4j-simple"", ""io.netty:netty-buffer"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.0.Beta1""",1360875635000,"""4.0.0.Beta1""","""2013-02-14T21:00:35Z""",9,"[""org.easymock:easymock"", ""org.javassist:javassist"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.hamcrest:hamcrest-library"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Beta2""",1361927109000,"""4.0.0.Beta2""","""2013-02-27T01:05:09Z""",9,"[""org.easymock:easymockclassextension"", ""org.javassist:javassist"", ""ch.qos.logback:logback-classic"", ""org.hamcrest:hamcrest-library"", ""org.jmock:jmock-junit4"", ""org.easymock:easymock"", ""io.netty:netty-transport"", ""junit:junit"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Beta3""",1363427324000,"""4.0.0.Beta3""","""2013-03-16T09:48:44Z""",9,"[""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""org.javassist:javassist"", ""junit:junit"", ""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""org.hamcrest:hamcrest-library"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR1""",1363962811000,"""4.0.0.CR1""","""2013-03-22T14:33:31Z""",8,"[""io.netty:netty-transport"", ""junit:junit"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""org.javassist:javassist"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR2""",1368033319000,"""4.0.0.CR2""","""2013-05-08T17:15:19Z""",8,"[""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""org.easymock:easymockclassextension"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.javassist:javassist"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR3""",1368864349000,"""4.0.0.CR3""","""2013-05-18T08:05:49Z""",8,"[""junit:junit"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""ch.qos.logback:logback-classic"", ""io.netty:netty-buffer"", ""org.easymock:easymock"", ""org.javassist:javassist"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.0.CR4""",1371110934000,"""4.0.0.CR4""","""2013-06-13T08:08:54Z""",9,"[""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""org.javassist:javassist"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR5""",1371184986000,"""4.0.0.CR5""","""2013-06-14T04:43:06Z""",9,"[""org.jmock:jmock-junit4"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.easymock:easymock"", ""org.javassist:javassist"", ""org.easymock:easymockclassextension"", ""io.netty:netty-transport"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR6""",1371773566000,"""4.0.0.CR6""","""2013-06-21T00:12:46Z""",9,"[""ch.qos.logback:logback-classic"", ""org.javassist:javassist"", ""io.netty:netty-buffer"", ""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""org.easymock:easymockclassextension"", ""io.netty:netty-codec"", ""junit:junit"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.0.CR7""",1372426182000,"""4.0.0.CR7""","""2013-06-28T13:29:42Z""",9,"[""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""junit:junit"", ""org.easymock:easymockclassextension"", ""io.netty:netty-codec"", ""org.easymock:easymock"", ""io.netty:netty-transport"", ""org.javassist:javassist"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR8""",1372731825000,"""4.0.0.CR8""","""2013-07-02T02:23:45Z""",9,"[""io.netty:netty-codec"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""org.javassist:javassist"", ""junit:junit"", ""org.easymock:easymock"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.CR9""",1372758977000,"""4.0.0.CR9""","""2013-07-02T09:56:17Z""",9,"[""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""io.netty:netty-codec"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""junit:junit"", ""org.javassist:javassist"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.0.Final""",1373897270000,"""4.0.0.Final""","""2013-07-15T14:07:50Z""",9,"[""org.jmock:jmock-junit4"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""io.netty:netty-buffer"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""io.netty:netty-transport"", ""org.javassist:javassist"", ""io.netty:netty-codec""]"
"""io.netty:netty-handler:4.0.1.Final""",1373963508000,"""4.0.1.Final""","""2013-07-16T08:31:48Z""",9,"[""org.javassist:javassist"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""junit:junit"", ""io.netty:netty-transport"", ""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.2.Final""",1374070807000,"""4.0.2.Final""","""2013-07-17T14:20:07Z""",9,"[""org.javassist:javassist"", ""io.netty:netty-codec"", ""junit:junit"", ""org.easymock:easymockclassextension"", ""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""org.easymock:easymock"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.3.Final""",1374115569000,"""4.0.3.Final""","""2013-07-18T02:46:09Z""",9,"[""io.netty:netty-codec"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""org.javassist:javassist"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.4.Final""",1374568862000,"""4.0.4.Final""","""2013-07-23T08:41:02Z""",9,"[""org.javassist:javassist"", ""junit:junit"", ""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.5.Final""",1375294652000,"""4.0.5.Final""","""2013-07-31T18:17:32Z""",9,"[""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""junit:junit"", ""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""io.netty:netty-buffer"", ""org.javassist:javassist"", ""io.netty:netty-codec"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.6.Final""",1375348004000,"""4.0.6.Final""","""2013-08-01T09:06:44Z""",9,"[""ch.qos.logback:logback-classic"", ""org.easymock:easymock"", ""org.javassist:javassist"", ""io.netty:netty-codec"", ""org.jmock:jmock-junit4"", ""org.easymock:easymockclassextension"", ""junit:junit"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.7.Final""",1375963154000,"""4.0.7.Final""","""2013-08-08T11:59:14Z""",9,"[""io.netty:netty-codec"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.easymock:easymock"", ""org.jmock:jmock-junit4"", ""org.easymock:easymockclassextension"", ""io.netty:netty-buffer"", ""org.javassist:javassist"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.8.Final""",1377518835000,"""4.0.8.Final""","""2013-08-26T12:07:15Z""",9,"[""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""io.netty:netty-codec"", ""ch.qos.logback:logback-classic"", ""org.javassist:javassist"", ""junit:junit"", ""io.netty:netty-buffer"", ""org.easymock:easymock"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.9.Final""",1378452981000,"""4.0.9.Final""","""2013-09-06T07:36:21Z""",9,"[""junit:junit"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""io.netty:netty-codec"", ""org.javassist:javassist"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.10.Final""",1380799757000,"""4.0.10.Final""","""2013-10-03T11:29:17Z""",9,"[""io.netty:netty-transport"", ""org.jmock:jmock-junit4"", ""org.javassist:javassist"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""junit:junit"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.11.Final""",1382334584000,"""4.0.11.Final""","""2013-10-21T05:49:44Z""",9,"[""junit:junit"", ""ch.qos.logback:logback-classic"", ""org.jmock:jmock-junit4"", ""io.netty:netty-transport"", ""org.easymock:easymockclassextension"", ""org.easymock:easymock"", ""org.javassist:javassist"", ""io.netty:netty-codec"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.12.Final""",1383844782000,"""4.0.12.Final""","""2013-11-07T17:19:42Z""",9,"[""junit:junit"", ""org.javassist:javassist"", ""org.jmock:jmock-junit4"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""io.netty:netty-codec"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.13.Final""",1385647862000,"""4.0.13.Final""","""2013-11-28T14:11:02Z""",9,"[""org.jmock:jmock-junit4"", ""org.easymock:easymock"", ""ch.qos.logback:logback-classic"", ""org.javassist:javassist"", ""io.netty:netty-codec"", ""io.netty:netty-buffer"", ""org.easymock:easymockclassextension"", ""junit:junit"", ""io.netty:netty-transport""]"
"""io.netty:netty-handler:4.0.14.Beta1""",1385750304000,"""4.0.14.Beta1""","""2013-11-29T18:38:24Z""",9,"[""org.javassist:javassist"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.easymock:easymock"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""io.netty:netty-codec"", ""io.netty:netty-transport"", ""io.netty:netty-buffer""]"
"""io.netty:netty-handler:4.0.14.Final""",1387718014000,"""4.0.14.Final""","""2013-12-22T13:13:34Z""",9,"[""io.netty:netty-transport"", ""org.easymock:easymock"", ""org.javassist:javassist"", ""ch.qos.logback:logback-classic"", ""org.easymock:easymockclassextension"", ""org.jmock:jmock-junit4"", ""io.netty:netty-codec"", ""junit:junit"", ""io.netty:netty-buffer""]"
