releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.apache.curator:curator-recipes:2.0.0-incubating""",1367441571000,"""2.0.0-incubating""","""2013-05-01T20:52:51Z""",7,"[""log4j:log4j"", ""org.mockito:mockito-core"", ""com.google.guava:guava"", ""org.apache.zookeeper:zookeeper"", ""org.testng:testng"", ""org.apache.curator:curator-test"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.0.1-incubating""",1368823236000,"""2.0.1-incubating""","""2013-05-17T20:40:36Z""",7,"[""org.apache.zookeeper:zookeeper"", ""com.google.guava:guava"", ""log4j:log4j"", ""org.apache.curator:curator-test"", ""org.mockito:mockito-core"", ""org.testng:testng"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.1.0-incubating""",1371750720000,"""2.1.0-incubating""","""2013-06-20T17:52:00Z""",7,"[""org.mockito:mockito-core"", ""com.google.guava:guava"", ""org.apache.zookeeper:zookeeper"", ""log4j:log4j"", ""org.testng:testng"", ""org.apache.curator:curator-test"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.2.0-incubating""",1375286142000,"""2.2.0-incubating""","""2013-07-31T15:55:42Z""",7,"[""org.mockito:mockito-core"", ""com.google.guava:guava"", ""org.testng:testng"", ""log4j:log4j"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-test"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.3.0""",1383594137000,"""2.3.0""","""2013-11-04T19:42:17Z""",7,"[""com.google.guava:guava"", ""org.mockito:mockito-core"", ""log4j:log4j"", ""org.testng:testng"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-test"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.4.0""",1391641748000,"""2.4.0""","""2014-02-05T23:09:08Z""",7,"[""log4j:log4j"", ""org.testng:testng"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-framework"", ""com.google.guava:guava"", ""org.mockito:mockito-core"", ""org.apache.curator:curator-test""]"
"""org.apache.curator:curator-recipes:2.4.1""",1394109391000,"""2.4.1""","""2014-03-06T12:36:31Z""",7,"[""org.apache.zookeeper:zookeeper"", ""log4j:log4j"", ""org.apache.curator:curator-framework"", ""org.mockito:mockito-core"", ""com.google.guava:guava"", ""org.testng:testng"", ""org.apache.curator:curator-test""]"
"""org.apache.curator:curator-recipes:2.4.2""",1398118025000,"""2.4.2""","""2014-04-21T22:07:05Z""",7,"[""org.apache.curator:curator-framework"", ""com.google.guava:guava"", ""org.mockito:mockito-core"", ""org.testng:testng"", ""log4j:log4j"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-test""]"
"""org.apache.curator:curator-recipes:2.5.0""",1400948967000,"""2.5.0""","""2014-05-24T16:29:27Z""",6,"[""org.mockito:mockito-core"", ""org.apache.curator:curator-test"", ""com.google.guava:guava"", ""org.testng:testng"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-framework""]"
"""org.apache.curator:curator-recipes:2.6.0""",1404788506000,"""2.6.0""","""2014-07-08T03:01:46Z""",6,"[""com.google.guava:guava"", ""org.mockito:mockito-core"", ""org.testng:testng"", ""org.apache.zookeeper:zookeeper"", ""org.apache.curator:curator-test"", ""org.apache.curator:curator-framework""]"
