releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.springframework:spring-aspects:2.0-m1""",1135355840000,"""2.0-m1""","""2005-12-23T16:37:20Z""",6,"[""org.springframework:spring-dao"", ""junit:junit"", ""org.springframework:spring-mock"", ""aspectj:aspectjrt"", ""aspectj:aspectjtools"", ""org.springframework:spring-beans""]"
"""org.springframework:spring-aspects:2.0-m2""",1138919279000,"""2.0-m2""","""2006-02-02T22:27:59Z""",6,"[""aspectj:aspectjtools"", ""org.springframework:spring-dao"", ""org.springframework:spring-beans"", ""junit:junit"", ""org.springframework:spring-mock"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0""",1159955363000,"""2.0""","""2006-10-04T09:49:23Z""",5,"[""commons-logging:commons-logging"", ""org.springframework:spring-dao"", ""org.springframework:spring-beans"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.1""",1164493993000,"""2.0.1""","""2006-11-25T22:33:13Z""",5,"[""commons-logging:commons-logging"", ""org.springframework:spring-dao"", ""aspectj:aspectjweaver"", ""org.springframework:spring-beans"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.2""",1168367606000,"""2.0.2""","""2007-01-09T18:33:26Z""",5,"[""org.springframework:spring-dao"", ""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.3""",1173479826000,"""2.0.3""","""2007-03-09T22:37:06Z""",5,"[""commons-logging:commons-logging"", ""org.springframework:spring-dao"", ""org.springframework:spring-beans"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.4""",1176240944000,"""2.0.4""","""2007-04-10T21:35:44Z""",5,"[""aspectj:aspectjweaver"", ""org.springframework:spring-dao"", ""org.springframework:spring-beans"", ""commons-logging:commons-logging"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.5""",1178588687000,"""2.0.5""","""2007-05-08T01:44:47Z""",5,"[""aspectj:aspectjweaver"", ""org.springframework:spring-beans"", ""org.springframework:spring-dao"", ""commons-logging:commons-logging"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.6""",1182275784000,"""2.0.6""","""2007-06-19T17:56:24Z""",5,"[""aspectj:aspectjweaver"", ""org.springframework:spring-beans"", ""org.springframework:spring-dao"", ""commons-logging:commons-logging"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.0.7""",1191290127000,"""2.0.7""","""2007-10-02T01:55:27Z""",5,"[""org.springframework:spring-dao"", ""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5""",1195526958000,"""2.5""","""2007-11-20T02:49:18Z""",5,"[""org.springframework:spring-beans"", ""aspectj:aspectjrt"", ""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:2.0.8""",1199933909000,"""2.0.8""","""2008-01-10T02:58:29Z""",5,"[""aspectj:aspectjweaver"", ""commons-logging:commons-logging"", ""org.springframework:spring-dao"", ""org.springframework:spring-beans"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5.1""",1199933909000,"""2.5.1""","""2008-01-10T02:58:29Z""",5,"[""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""org.springframework:spring-tx"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5.2""",1204791441000,"""2.5.2""","""2008-03-06T08:17:21Z""",5,"[""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""aspectj:aspectjrt"", ""org.springframework:spring-tx"", ""aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:2.5.3""",1207560556000,"""2.5.3""","""2008-04-07T09:29:16Z""",5,"[""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""aspectj:aspectjweaver"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5.4""",1209405223000,"""2.5.4""","""2008-04-28T17:53:43Z""",5,"[""aspectj:aspectjweaver"", ""org.springframework:spring-beans"", ""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5.5""",1214242154000,"""2.5.5""","""2008-06-23T17:29:14Z""",5,"[""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""org.aspectj:aspectjrt"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:2.5.6""",1225590326000,"""2.5.6""","""2008-11-02T01:45:26Z""",5,"[""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver"", ""org.aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:2.5.6.SEC01""",1240440990000,"""2.5.6.SEC01""","""2009-04-22T22:56:30Z""",5,"[""org.springframework:spring-beans"", ""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""org.aspectj:aspectjweaver"", ""org.aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:3.0.0.RELEASE""",1261008477000,"""3.0.0.RELEASE""","""2009-12-17T00:07:57Z""",8,"[""javax.mail:mail"", ""junit:junit"", ""org.springframework:spring-context-support"", ""org.springframework:spring-tx"", ""org.springframework:spring-test"", ""org.springframework:spring-context"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:3.0.1.RELEASE""",1266538332000,"""3.0.1.RELEASE""","""2010-02-19T00:12:12Z""",9,"[""org.springframework:spring-context-support"", ""org.springframework:spring-test"", ""org.springframework:spring-tx"", ""javax.persistence:persistence-api"", ""org.springframework:spring-context"", ""junit:junit"", ""javax.mail:mail"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:3.0.2.RELEASE""",1270248513000,"""3.0.2.RELEASE""","""2010-04-02T22:48:33Z""",9,"[""org.springframework:spring-context"", ""javax.persistence:persistence-api"", ""org.springframework:spring-tx"", ""junit:junit"", ""org.springframework:spring-context-support"", ""javax.mail:mail"", ""org.springframework:spring-test"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:3.0.3.RELEASE""",1276642316000,"""3.0.3.RELEASE""","""2010-06-15T22:51:56Z""",9,"[""org.springframework:spring-context"", ""junit:junit"", ""javax.persistence:persistence-api"", ""org.springframework:spring-tx"", ""javax.mail:mail"", ""org.springframework:spring-test"", ""org.springframework:spring-context-support"", ""org.springframework:spring-beans"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:2.5.6.SEC02""",1276902232000,"""2.5.6.SEC02""","""2010-06-18T23:03:52Z""",5,"[""org.springframework:spring-beans"", ""org.springframework:spring-tx"", ""commons-logging:commons-logging"", ""org.aspectj:aspectjweaver"", ""org.aspectj:aspectjrt""]"
"""org.springframework:spring-aspects:3.0.4.RELEASE""",1282259296000,"""3.0.4.RELEASE""","""2010-08-19T23:08:16Z""",9,"[""javax.persistence:persistence-api"", ""junit:junit"", ""org.springframework:spring-context-support"", ""javax.mail:mail"", ""org.springframework:spring-test"", ""org.springframework:spring-beans"", ""org.springframework:spring-context"", ""org.springframework:spring-tx"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:3.0.5.RELEASE""",1287615031000,"""3.0.5.RELEASE""","""2010-10-20T22:50:31Z""",10,"[""org.springframework:spring-test"", ""javax.persistence:persistence-api"", ""org.springframework:spring-context-support"", ""org.springframework:spring-beans"", ""org.springframework:spring-context"", ""junit:junit"", ""javax.mail:mail"", ""org.springframework:spring-orm"", ""org.springframework:spring-tx"", ""org.aspectj:aspectjweaver""]"
"""org.springframework:spring-aspects:3.0.6.RELEASE""",1313762202000,"""3.0.6.RELEASE""","""2011-08-19T13:56:42Z""",10,"[""org.springframework:spring-context-support"", ""javax.mail:mail"", ""org.springframework:spring-test"", ""org.springframework:spring-beans"", ""org.springframework:spring-orm"", ""junit:junit"", ""javax.persistence:persistence-api"", ""org.springframework:spring-context"", ""org.springframework:spring-tx"", ""org.aspectj:aspectjweaver""]"
