releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.codehaus.groovy:groovy-datetime:2.5.0-rc-1""",1523238288000,"""2.5.0-rc-1""","""2018-04-09T01:44:48Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-alpha-2""",1523934214000,"""3.0.0-alpha-2""","""2018-04-17T03:03:34Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.0-rc-2""",1525576304000,"""2.5.0-rc-2""","""2018-05-06T03:11:44Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.0-rc-3""",1527004903000,"""2.5.0-rc-3""","""2018-05-22T16:01:43Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.0""",1527652692000,"""2.5.0""","""2018-05-30T03:58:12Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.6.0-alpha-4""",1530001503000,"""2.6.0-alpha-4""","""2018-06-26T08:25:03Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-alpha-3""",1530008104000,"""3.0.0-alpha-3""","""2018-06-26T10:15:04Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.1""",1531488981000,"""2.5.1""","""2018-07-13T13:36:21Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.2""",1534206125000,"""2.5.2""","""2018-08-14T00:22:05Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.3""",1539494598000,"""2.5.3""","""2018-10-14T05:23:18Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.4""",1541974775000,"""2.5.4""","""2018-11-11T22:19:35Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.5""",1545614675000,"""2.5.5""","""2018-12-24T01:24:35Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-alpha-4""",1546207386000,"""3.0.0-alpha-4""","""2018-12-30T22:03:06Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.6""",1549286295000,"""2.5.6""","""2019-02-04T13:18:15Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.7""",1557496181000,"""2.5.7""","""2019-05-10T13:49:41Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-beta-1""",1557499851000,"""3.0.0-beta-1""","""2019-05-10T14:50:51Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-beta-2""",1563035855000,"""3.0.0-beta-2""","""2019-07-13T16:37:35Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.8""",1565190737000,"""2.5.8""","""2019-08-07T15:12:17Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-beta-3""",1565201088000,"""3.0.0-beta-3""","""2019-08-07T18:04:48Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-rc-1""",1572007670000,"""3.0.0-rc-1""","""2019-10-25T12:47:50Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-rc-2""",1575812819000,"""3.0.0-rc-2""","""2019-12-08T13:46:59Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.9""",1578980589000,"""2.5.9""","""2020-01-14T05:43:09Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0-rc-3""",1579050399000,"""3.0.0-rc-3""","""2020-01-15T01:06:39Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.0""",1581328989000,"""3.0.0""","""2020-02-10T10:03:09Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.1""",1581938473000,"""3.0.1""","""2020-02-17T11:21:13Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.10""",1583503823000,"""2.5.10""","""2020-03-06T14:10:23Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.2""",1583669612000,"""3.0.2""","""2020-03-08T12:13:32Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.3""",1586504474000,"""3.0.3""","""2020-04-10T07:41:14Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.11""",1586509804000,"""2.5.11""","""2020-04-10T09:10:04Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.4""",1590059704000,"""3.0.4""","""2020-05-21T11:15:04Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.12""",1590063012000,"""2.5.12""","""2020-05-21T12:10:12Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.13""",1595389969000,"""2.5.13""","""2020-07-22T03:52:49Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.5""",1595422913000,"""3.0.5""","""2020-07-22T13:01:53Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.6""",1601372386000,"""3.0.6""","""2020-09-29T09:39:46Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.14""",1606997776000,"""2.5.14""","""2020-12-03T12:16:16Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.7""",1606998931000,"""3.0.7""","""2020-12-03T12:35:31Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.8""",1618884095000,"""3.0.8""","""2021-04-20T02:01:35Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.9""",1630940685000,"""3.0.9""","""2021-09-06T15:04:45Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.15""",1630973962000,"""2.5.15""","""2021-09-07T00:19:22Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.16""",1646485903000,"""2.5.16""","""2022-03-05T13:11:43Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.10""",1646566087000,"""3.0.10""","""2022-03-06T11:28:07Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.17""",1654057409000,"""2.5.17""","""2022-06-01T04:23:29Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.11""",1654060077000,"""3.0.11""","""2022-06-01T05:07:57Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.18""",1658549545000,"""2.5.18""","""2022-07-23T04:12:25Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.12""",1658551133000,"""3.0.12""","""2022-07-23T04:38:53Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.13""",1663489710000,"""3.0.13""","""2022-09-18T08:28:30Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.19""",1665896960000,"""2.5.19""","""2022-10-16T05:09:20Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.20""",1671856541000,"""2.5.20""","""2022-12-24T04:35:41Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.14""",1671862937000,"""3.0.14""","""2022-12-24T06:22:17Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.21""",1674366127000,"""2.5.21""","""2023-01-22T05:42:07Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.15""",1675893516000,"""3.0.15""","""2023-02-08T21:58:36Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.16""",1678602333000,"""3.0.16""","""2023-03-12T06:25:33Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.22""",1680223549000,"""2.5.22""","""2023-03-31T00:45:49Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.17""",1680225515000,"""3.0.17""","""2023-03-31T01:18:35Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.18""",1688025091000,"""3.0.18""","""2023-06-29T07:51:31Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.19""",1692682404000,"""3.0.19""","""2023-08-22T05:33:24Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:2.5.23""",1692686587000,"""2.5.23""","""2023-08-22T06:43:07Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.20""",1703215576000,"""3.0.20""","""2023-12-22T03:26:16Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.21""",1709297954000,"""3.0.21""","""2024-03-01T12:59:14Z""",1,"[""org.codehaus.groovy:groovy""]"
"""org.codehaus.groovy:groovy-datetime:3.0.22""",1719732419000,"""3.0.22""","""2024-06-30T07:26:59Z""",1,"[""org.codehaus.groovy:groovy""]"
