releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.slf4j:slf4j-api""","""1.1.0-beta0""",6,"""2006-09-17T07:06:55Z""",1158476815000
"""org.slf4j:slf4j-api""","""1.1.0-RC0""",1,"""2006-11-09T20:49:31Z""",1163105371000
"""org.slf4j:slf4j-api""","""1.1.0-RC1""",13,"""2006-11-16T22:48:27Z""",1163717307000
"""org.slf4j:slf4j-api""","""1.1.0""",7,"""2006-12-20T22:31:46Z""",1166653906000
"""org.slf4j:slf4j-api""","""1.2""",46,"""2007-01-24T20:16:40Z""",1169669800000
"""org.slf4j:slf4j-api""","""1.3.0""",165,"""2007-02-25T16:39:28Z""",1172421568000
"""org.slf4j:slf4j-api""","""1.3.1""",130,"""2007-04-15T20:08:35Z""",1176667715000
"""org.slf4j:slf4j-api""","""1.4.0""",189,"""2007-05-22T17:40:25Z""",1179855625000
"""org.slf4j:slf4j-api""","""1.4.1""",16,"""2007-07-04T19:29:11Z""",1183577351000
"""org.slf4j:slf4j-api""","""1.4.2""",759,"""2007-07-12T20:28:44Z""",1184272124000
"""org.slf4j:slf4j-api""","""1.4.3""",676,"""2007-08-20T21:35:28Z""",1187645728000
"""org.slf4j:slf4j-api""","""1.5.0-M0""",18,"""2008-01-29T21:38:47Z""",1201642727000
"""org.slf4j:slf4j-api""","""1.5.0""",905,"""2008-02-26T20:19:32Z""",1204057172000
"""org.slf4j:slf4j-api""","""1.5.2""",3735,"""2008-06-09T15:45:59Z""",1213026359000
"""org.slf4j:slf4j-api""","""1.5.3""",262,"""2008-09-12T15:36:20Z""",1221233780000
"""org.slf4j:slf4j-api""","""1.5.4""",10,"""2008-10-16T17:19:06Z""",1224177546000
"""org.slf4j:slf4j-api""","""1.5.5""",6246,"""2008-10-17T15:54:29Z""",1224258869000
"""org.slf4j:slf4j-api""","""1.5.6""",3962,"""2008-11-21T13:56:35Z""",1227275795000
"""org.slf4j:slf4j-api""","""1.5.7""",12,"""2009-06-10T19:38:48Z""",1244662728000
"""org.slf4j:slf4j-api""","""1.5.8""",4421,"""2009-06-11T11:58:00Z""",1244721480000
"""org.slf4j:slf4j-api""","""1.5.9-RC0""",18,"""2009-09-04T18:24:57Z""",1252088697000
"""org.slf4j:slf4j-api""","""1.5.9.RC1""",47,"""2009-10-29T18:37:03Z""",1256841423000
"""org.slf4j:slf4j-api""","""1.5.10""",1521,"""2009-12-02T23:37:14Z""",1259797034000
"""org.slf4j:slf4j-api""","""1.5.11""",4698,"""2010-02-25T11:50:43Z""",1267098643000
"""org.slf4j:slf4j-api""","""1.6.0-RC0""",11,"""2010-04-21T21:02:33Z""",1271883753000
"""org.slf4j:slf4j-api""","""1.6.0-alpha2""",12,"""2010-04-26T05:18:55Z""",1272259135000
"""org.slf4j:slf4j-api""","""1.6.0""",3257,"""2010-05-08T10:45:26Z""",1273315526000
"""org.slf4j:slf4j-api""","""1.6.1""",41476,"""2010-07-05T20:29:21Z""",1278361761000
"""org.slf4j:slf4j-api""","""1.6.2""",6068,"""2011-08-18T22:13:03Z""",1313705583000
"""org.slf4j:slf4j-api""","""1.6.3""",1237,"""2011-10-17T19:55:17Z""",1318881317000
"""org.slf4j:slf4j-api""","""1.6.4""",17397,"""2011-10-31T22:45:37Z""",1320101137000
"""org.slf4j:slf4j-api""","""1.6.5""",503,"""2012-06-04T06:18:15Z""",1338790695000
"""org.slf4j:slf4j-api""","""1.6.6""",12731,"""2012-06-11T14:41:48Z""",1339425708000
