artifactID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.webjars.npm:lodash""","""3.10.1""",11,"""2015-08-18T20:52:34Z""",1439931154000
"""org.webjars.npm:lodash""","""4.0.0""",1,"""2016-01-18T05:41:26Z""",1453095686000
"""org.webjars.npm:lodash""","""4.6.1""",1,"""2016-03-04T08:55:52Z""",1457081752000
"""org.webjars.npm:lodash""","""4.9.0""",1,"""2016-04-11T10:31:36Z""",1460370696000
"""org.webjars.npm:lodash""","""4.13.1""",9,"""2016-05-23T22:17:28Z""",1464041848000
"""org.webjars.npm:lodash""","""4.17.2""",20,"""2016-11-17T09:38:11Z""",1479375491000
"""org.webjars.npm:lodash""","""4.17.3""",8,"""2016-12-28T09:02:21Z""",1482915741000
"""org.webjars.npm:lodash""","""4.17.4""",6,"""2017-01-25T09:18:52Z""",1485335932000
"""org.webjars.npm:lodash""","""2.4.1""",2,"""2018-08-13T13:44:13Z""",1534167853000
"""org.webjars.npm:lodash""","""4.17.15""",20,"""2019-07-19T21:21:48Z""",1563571308000
"""org.webjars.npm:lodash""","""4.17.21""",2,"""2021-02-24T01:18:06Z""",1614129486000
