Artifact,ReleaseCount
"""com.google.apis:google-api-services-adsense""",4639
"""org.wso2.identity.apps:console""",3614
"""org.wso2.identity.apps:myaccount""",3568
"""com.google.apis:google-api-services-youtubeAnalytics""",3281
"""com.google.apis:google-api-services-genomics""",3158
"""org.wso2.carbon.apimgt:apimgt""",2969
"""org.wso2.carbon.apimgt:carbon-apimgt""",2969
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.core""",2967
"""org.wso2.carbon.apimgt:apimgt-feature""",2967
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.core.feature""",2967
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.publisher.feature""",2956
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.store.feature""",2956
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.admin.feature""",2952
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.throttling.siddhi.extension""",2927
"""net.openhft:chronicle-bom""",2856
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt.client""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt.stub""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.api""",2722
"""org.wso2.carbon.apimgt:apimgt-stubs""",2722
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway.feature""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.feature""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt""",2721
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymanager.feature""",2712
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.dcr""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.dcr.feature""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.util""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.samples.calculator""",2710
"""org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.jms.listener""",2706
