releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""junit:junit:4.9""",1314036937000,"""4.9""","""2011-08-22T18:15:37Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.10""",1317323535000,"""4.10""","""2011-09-29T19:12:15Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.11-beta-1""",1350330312000,"""4.11-beta-1""","""2012-10-15T19:45:12Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.11""",1352920880000,"""4.11""","""2012-11-14T19:21:20Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.12-beta-1""",1406493686000,"""4.12-beta-1""","""2014-07-27T20:41:26Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.12-beta-2""",1411624480000,"""4.12-beta-2""","""2014-09-25T05:54:40Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.12-beta-3""",1415548411000,"""4.12-beta-3""","""2014-11-09T15:53:31Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.12""",1417709863000,"""4.12""","""2014-12-04T16:17:43Z""",1,"[""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13-beta-1""",1543158554000,"""4.13-beta-1""","""2018-11-25T15:09:14Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13-beta-2""",1549115958000,"""4.13-beta-2""","""2019-02-02T13:59:18Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13-beta-3""",1557060685000,"""4.13-beta-3""","""2019-05-05T12:51:25Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13-rc-1""",1572092227000,"""4.13-rc-1""","""2019-10-26T12:17:07Z""",2,"[""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""junit:junit:4.13-rc-2""",1575194515000,"""4.13-rc-2""","""2019-12-01T10:01:55Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13""",1577893485000,"""4.13""","""2020-01-01T15:44:45Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13.1""",1602429587000,"""4.13.1""","""2020-10-11T15:19:47Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
"""junit:junit:4.13.2""",1613233912000,"""4.13.2""","""2021-02-13T16:31:52Z""",2,"[""org.hamcrest:hamcrest-library"", ""org.hamcrest:hamcrest-core""]"
