releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.0""",1511809338000,"""1.2.0""","""2017-11-27T19:02:18Z""",3,"[""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.10""",1513176956000,"""1.2.10""","""2017-12-13T14:55:56Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.20""",1516126866000,"""1.2.20""","""2018-01-16T18:21:06Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.21""",1516712372000,"""1.2.21""","""2018-01-23T12:59:32Z""",3,"[""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.30""",1519837985000,"""1.2.30""","""2018-02-28T17:13:05Z""",3,"[""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.31""",1521738822000,"""1.2.31""","""2018-03-22T17:13:42Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.40""",1524143607000,"""1.2.40""","""2018-04-19T13:13:27Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.41""",1524794207000,"""1.2.41""","""2018-04-27T01:56:47Z""",3,"[""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.50""",1528897544000,"""1.2.50""","""2018-06-13T13:45:44Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7""]"
"""org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.51""",1530602827000,"""1.2.51""","""2018-07-03T07:27:07Z""",3,"[""org.jetbrains.kotlin:kotlin-test-junit"", ""org.jetbrains.kotlin:kotlin-stdlib-jdk7"", ""org.jetbrains.kotlin:kotlin-stdlib""]"
