releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.assertj:assertj-core:1.0.0""",1364288074000,"""1.0.0""","""2013-03-26T08:54:34Z""",2,"[""junit:junit"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.1.0""",1365968437000,"""1.1.0""","""2013-04-14T19:40:37Z""",2,"[""junit:junit"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.2.0""",1368373516000,"""1.2.0""","""2013-05-12T15:45:16Z""",2,"[""org.mockito:mockito-all"", ""junit:junit""]"
"""org.assertj:assertj-core:1.3.0""",1372606560000,"""1.3.0""","""2013-06-30T15:36:00Z""",2,"[""junit:junit"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.4.0""",1379261604000,"""1.4.0""","""2013-09-15T16:13:24Z""",3,"[""cglib:cglib-nodep"", ""junit:junit"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.5.0""",1383771395000,"""1.5.0""","""2013-11-06T20:56:35Z""",3,"[""org.mockito:mockito-all"", ""cglib:cglib-nodep"", ""junit:junit""]"
"""org.assertj:assertj-core:1.6.0""",1394879563000,"""1.6.0""","""2014-03-15T10:32:43Z""",3,"[""junit:junit"", ""cglib:cglib-nodep"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.6.1""",1401656518000,"""1.6.1""","""2014-06-01T21:01:58Z""",3,"[""cglib:cglib-nodep"", ""junit:junit"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.7.0""",1412398183000,"""1.7.0""","""2014-10-04T04:49:43Z""",3,"[""junit:junit"", ""cglib:cglib-nodep"", ""org.mockito:mockito-all""]"
"""org.assertj:assertj-core:1.7.1""",1420150748000,"""1.7.1""","""2015-01-01T22:19:08Z""",3,"[""cglib:cglib-nodep"", ""org.mockito:mockito-core"", ""junit:junit""]"
"""org.assertj:assertj-core:2.0.0""",1425700305000,"""2.0.0""","""2015-03-07T03:51:45Z""",4,"[""org.mockito:mockito-core"", ""cglib:cglib-nodep"", ""com.github.marschall:memoryfilesystem"", ""junit:junit""]"
"""org.assertj:assertj-core:3.0.0""",1428301967000,"""3.0.0""","""2015-04-06T06:32:47Z""",8,"[""org.easymock:easymock"", ""org.powermock:powermock-module-junit4"", ""org.ow2.asm:asm"", ""org.mockito:mockito-core"", ""com.github.marschall:memoryfilesystem"", ""org.powermock:powermock-api-mockito"", ""cglib:cglib"", ""junit:junit""]"
"""org.assertj:assertj-core:2.1.0""",1433925494000,"""2.1.0""","""2015-06-10T08:38:14Z""",4,"[""junit:junit"", ""cglib:cglib-nodep"", ""com.github.marschall:memoryfilesystem"", ""org.mockito:mockito-core""]"
"""org.assertj:assertj-core:3.1.0""",1435217612000,"""3.1.0""","""2015-06-25T07:33:32Z""",8,"[""org.mockito:mockito-core"", ""org.easymock:easymock"", ""org.powermock:powermock-api-mockito"", ""cglib:cglib"", ""com.github.marschall:memoryfilesystem"", ""org.powermock:powermock-module-junit4"", ""org.ow2.asm:asm"", ""junit:junit""]"
