releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M1""",1467882306000,"""5.0.0-M1""","""2016-07-07T09:05:06Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M2""",1469297647000,"""5.0.0-M2""","""2016-07-23T18:14:07Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M3""",1480496715000,"""5.0.0-M3""","""2016-11-30T09:05:15Z""",2,"[""org.opentest4j:opentest4j"", ""org.junit.platform:junit-platform-commons""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M4""",1491074576000,"""5.0.0-M4""","""2017-04-01T19:22:56Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M5""",1499186328000,"""5.0.0-M5""","""2017-07-04T16:38:48Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-M6""",1500405996000,"""5.0.0-M6""","""2017-07-18T19:26:36Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-RC1""",1501441953000,"""5.0.0-RC1""","""2017-07-30T19:12:33Z""",2,"[""org.junit.platform:junit-platform-commons"", ""org.opentest4j:opentest4j""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-RC2""",1501446998000,"""5.0.0-RC2""","""2017-07-30T20:36:38Z""",2,"[""org.opentest4j:opentest4j"", ""org.junit.platform:junit-platform-commons""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0-RC3""",1503513652000,"""5.0.0-RC3""","""2017-08-23T18:40:52Z""",2,"[""org.opentest4j:opentest4j"", ""org.junit.platform:junit-platform-commons""]"
"""org.junit.jupiter:junit-jupiter-api:5.0.0""",1505066912000,"""5.0.0""","""2017-09-10T18:08:32Z""",3,"[""org.opentest4j:opentest4j"", ""org.junit.platform:junit-platform-commons"", ""org.apiguardian:apiguardian-api""]"
