releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.slf4j:slf4j-simple:1.1.0-beta0""",1158476826000,"""1.1.0-beta0""","""2006-09-17T07:07:06Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.1.0-RC1""",1163717318000,"""1.1.0-RC1""","""2006-11-16T22:48:38Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.1.0""",1166653916000,"""1.1.0""","""2006-12-20T22:31:56Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.2""",1169669820000,"""1.2""","""2007-01-24T20:17:00Z""",2,"[""org.slf4j:slf4j-api"", ""junit:junit""]"
"""org.slf4j:slf4j-simple:1.3.0""",1172421579000,"""1.3.0""","""2007-02-25T16:39:39Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.3.1""",1176667726000,"""1.3.1""","""2007-04-15T20:08:46Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.4.0""",1179855636000,"""1.4.0""","""2007-05-22T17:40:36Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.4.1""",1183577362000,"""1.4.1""","""2007-07-04T19:29:22Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.4.2""",1184272135000,"""1.4.2""","""2007-07-12T20:28:55Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.4.3""",1187645740000,"""1.4.3""","""2007-08-20T21:35:40Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.0-M0""",1201642738000,"""1.5.0-M0""","""2008-01-29T21:38:58Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.0""",1204057182000,"""1.5.0""","""2008-02-26T20:19:42Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.2""",1213026372000,"""1.5.2""","""2008-06-09T15:46:12Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.3""",1221233784000,"""1.5.3""","""2008-09-12T15:36:24Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.4""",1224177551000,"""1.5.4""","""2008-10-16T17:19:11Z""",2,"[""org.slf4j:slf4j-api"", ""junit:junit""]"
"""org.slf4j:slf4j-simple:1.5.5""",1224258879000,"""1.5.5""","""2008-10-17T15:54:39Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.6""",1227275805000,"""1.5.6""","""2008-11-21T13:56:45Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.7""",1244662732000,"""1.5.7""","""2009-06-10T19:38:52Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.8""",1244721484000,"""1.5.8""","""2009-06-11T11:58:04Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.9-RC0""",1252088700000,"""1.5.9-RC0""","""2009-09-04T18:25:00Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.9.RC1""",1256841426000,"""1.5.9.RC1""","""2009-10-29T18:37:06Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.10""",1259797044000,"""1.5.10""","""2009-12-02T23:37:24Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.5.11""",1267098651000,"""1.5.11""","""2010-02-25T11:50:51Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.0-RC0""",1271883759000,"""1.6.0-RC0""","""2010-04-21T21:02:39Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.0-alpha2""",1272259142000,"""1.6.0-alpha2""","""2010-04-26T05:19:02Z""",2,"[""org.slf4j:slf4j-api"", ""junit:junit""]"
"""org.slf4j:slf4j-simple:1.6.0""",1273315537000,"""1.6.0""","""2010-05-08T10:45:37Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.1""",1278361772000,"""1.6.1""","""2010-07-05T20:29:32Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.2""",1313705599000,"""1.6.2""","""2011-08-18T22:13:19Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.3""",1318881330000,"""1.6.3""","""2011-10-17T19:55:30Z""",2,"[""org.slf4j:slf4j-api"", ""junit:junit""]"
"""org.slf4j:slf4j-simple:1.6.4""",1320101148000,"""1.6.4""","""2011-10-31T22:45:48Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.5""",1338790725000,"""1.6.5""","""2012-06-04T06:18:45Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.6.6""",1339425718000,"""1.6.6""","""2012-06-11T14:41:58Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-simple:1.7.0""",1346968498000,"""1.7.0""","""2012-09-06T21:54:58Z""",2,"[""junit:junit"", ""org.slf4j:slf4j-api""]"
