releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.slf4j:slf4j-log4j12:1.1.0-beta0""",1158476820000,"""1.1.0-beta0""","""2006-09-17T07:07:00Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.1.0-RC1""",1163717344000,"""1.1.0-RC1""","""2006-11-16T22:49:04Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.1.0""",1166653941000,"""1.1.0""","""2006-12-20T22:32:21Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.2""",1169669872000,"""1.2""","""2007-01-24T20:17:52Z""",3,"[""log4j:log4j"", ""org.slf4j:slf4j-api"", ""junit:junit""]"
"""org.slf4j:slf4j-log4j12:1.3.0""",1172421606000,"""1.3.0""","""2007-02-25T16:40:06Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.3.1""",1176667752000,"""1.3.1""","""2007-04-15T20:09:12Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.4.0""",1179855662000,"""1.4.0""","""2007-05-22T17:41:02Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.4.1""",1183577388000,"""1.4.1""","""2007-07-04T19:29:48Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.4.2""",1184272161000,"""1.4.2""","""2007-07-12T20:29:21Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.4.3""",1187645766000,"""1.4.3""","""2007-08-20T21:36:06Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.0-M0""",1201642771000,"""1.5.0-M0""","""2008-01-29T21:39:31Z""",3,"[""junit:junit"", ""org.slf4j:slf4j-api"", ""log4j:log4j""]"
"""org.slf4j:slf4j-log4j12:1.5.0""",1204057212000,"""1.5.0""","""2008-02-26T20:20:12Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.2""",1213026398000,"""1.5.2""","""2008-06-09T15:46:38Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.3""",1221233795000,"""1.5.3""","""2008-09-12T15:36:35Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.4""",1224177564000,"""1.5.4""","""2008-10-16T17:19:24Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.5""",1224258890000,"""1.5.5""","""2008-10-17T15:54:50Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.6""",1227275826000,"""1.5.6""","""2008-11-21T13:57:06Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.7""",1244662741000,"""1.5.7""","""2009-06-10T19:39:01Z""",3,"[""junit:junit"", ""org.slf4j:slf4j-api"", ""log4j:log4j""]"
"""org.slf4j:slf4j-log4j12:1.5.8""",1244721493000,"""1.5.8""","""2009-06-11T11:58:13Z""",3,"[""junit:junit"", ""org.slf4j:slf4j-api"", ""log4j:log4j""]"
"""org.slf4j:slf4j-log4j12:1.5.9-RC0""",1252088709000,"""1.5.9-RC0""","""2009-09-04T18:25:09Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.9.RC1""",1256841435000,"""1.5.9.RC1""","""2009-10-29T18:37:15Z""",3,"[""org.slf4j:slf4j-api"", ""junit:junit"", ""log4j:log4j""]"
"""org.slf4j:slf4j-log4j12:1.5.10""",1259797068000,"""1.5.10""","""2009-12-02T23:37:48Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.5.11""",1267098676000,"""1.5.11""","""2010-02-25T11:51:16Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.0-RC0""",1271883776000,"""1.6.0-RC0""","""2010-04-21T21:02:56Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.0-alpha2""",1272259157000,"""1.6.0-alpha2""","""2010-04-26T05:19:17Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.0""",1273315563000,"""1.6.0""","""2010-05-08T10:46:03Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.1""",1278361803000,"""1.6.1""","""2010-07-05T20:30:03Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.2""",1313705637000,"""1.6.2""","""2011-08-18T22:13:57Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.3""",1318881361000,"""1.6.3""","""2011-10-17T19:56:01Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.4""",1320101172000,"""1.6.4""","""2011-10-31T22:46:12Z""",3,"[""junit:junit"", ""log4j:log4j"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.6.5""",1338790786000,"""1.6.5""","""2012-06-04T06:19:46Z""",3,"[""junit:junit"", ""org.slf4j:slf4j-api"", ""log4j:log4j""]"
"""org.slf4j:slf4j-log4j12:1.6.6""",1339425745000,"""1.6.6""","""2012-06-11T14:42:25Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.7.0""",1346968531000,"""1.7.0""","""2012-09-06T21:55:31Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
"""org.slf4j:slf4j-log4j12:1.7.1""",1347657127000,"""1.7.1""","""2012-09-14T21:12:07Z""",3,"[""log4j:log4j"", ""junit:junit"", ""org.slf4j:slf4j-api""]"
