releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.awaitility:awaitility:2.0.0""",1466163346000,"""2.0.0""","""2016-06-17T11:35:46Z""",5,"[""cglib:cglib-nodep"", ""org.objenesis:objenesis"", ""junit:junit"", ""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.0.0-rc1""",1489760627000,"""3.0.0-rc1""","""2017-03-17T14:23:47Z""",5,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.0.0-rc2""",1490967280000,"""3.0.0-rc2""","""2017-03-31T13:34:40Z""",5,"[""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis"", ""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.0.0-rc3""",1491542714000,"""3.0.0-rc3""","""2017-04-07T05:25:14Z""",5,"[""junit:junit"", ""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.0.0""",1493362404000,"""3.0.0""","""2017-04-28T06:53:24Z""",5,"[""org.objenesis:objenesis"", ""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.0""",1519995155000,"""3.1.0""","""2018-03-02T12:52:35Z""",5,"[""org.awaitility:awaitility-test-support"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-core"", ""junit:junit"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.1""",1530278658000,"""3.1.1""","""2018-06-29T13:24:18Z""",5,"[""org.hamcrest:hamcrest-core"", ""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.2""",1532431854000,"""3.1.2""","""2018-07-24T11:30:54Z""",5,"[""org.awaitility:awaitility-test-support"", ""org.objenesis:objenesis"", ""junit:junit"", ""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.3""",1542358605000,"""3.1.3""","""2018-11-16T08:56:45Z""",5,"[""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.4""",1544014458000,"""3.1.4""","""2018-12-05T12:54:18Z""",5,"[""junit:junit"", ""org.objenesis:objenesis"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest-core"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:3.1.5""",1544106797000,"""3.1.5""","""2018-12-06T14:33:17Z""",5,"[""org.hamcrest:hamcrest-core"", ""org.awaitility:awaitility-test-support"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest-library"", ""junit:junit""]"
"""org.awaitility:awaitility:3.1.6""",1548405345000,"""3.1.6""","""2019-01-25T08:35:45Z""",5,"[""org.hamcrest:hamcrest-core"", ""org.objenesis:objenesis"", ""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest-library""]"
"""org.awaitility:awaitility:4.0.0-rc1""",1563180449000,"""4.0.0-rc1""","""2019-07-15T08:47:29Z""",4,"[""junit:junit"", ""org.objenesis:objenesis"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.0.0""",1567176635000,"""4.0.0""","""2019-08-30T14:50:35Z""",4,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.objenesis:objenesis"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.0.1""",1567771969000,"""4.0.1""","""2019-09-06T12:12:49Z""",3,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.0.2""",1578034962000,"""4.0.2""","""2020-01-03T07:02:42Z""",3,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.0.3""",1589871769000,"""4.0.3""","""2020-05-19T07:02:49Z""",3,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.1.0""",1620392288000,"""4.1.0""","""2021-05-07T12:58:08Z""",3,"[""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.1.1""",1635142269000,"""4.1.1""","""2021-10-25T06:11:09Z""",3,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.2.0""",1646401783000,"""4.2.0""","""2022-03-04T13:49:43Z""",3,"[""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.2.1""",1710511744000,"""4.2.1""","""2024-03-15T14:09:04Z""",3,"[""junit:junit"", ""org.awaitility:awaitility-test-support"", ""org.hamcrest:hamcrest""]"
"""org.awaitility:awaitility:4.2.2""",1723019422000,"""4.2.2""","""2024-08-07T08:30:22Z""",3,"[""org.awaitility:awaitility-test-support"", ""junit:junit"", ""org.hamcrest:hamcrest""]"
