releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""com.thoughtworks.xstream:xstream:1.2""",1155895184000,"""1.2""","""2006-08-18T09:59:44Z""",12,"[""junit:junit"", ""jmock:jmock"", ""stax:stax-api"", ""cglib:cglib-nodep"", ""stax:stax"", ""jdom:jdom"", ""commons-lang:commons-lang"", ""xom:xom"", ""xpp3:xpp3_min"", ""com.megginson.sax:xml-writer"", ""joda-time:joda-time"", ""dom4j:dom4j""]"
"""com.thoughtworks.xstream:xstream:1.0""",1158675714000,"""1.0""","""2006-09-19T14:21:54Z""",2,"[""dom4j:dom4j"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.0.1""",1158675714000,"""1.0.1""","""2006-09-19T14:21:54Z""",2,"[""dom4j:dom4j"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.0.2""",1158675714000,"""1.0.2""","""2006-09-19T14:21:54Z""",2,"[""dom4j:dom4j"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.1.1""",1158675714000,"""1.1.1""","""2006-09-19T14:21:54Z""",8,"[""stax:stax-api"", ""com.megginson.sax:xml-writer"", ""stax:stax"", ""joda-time:joda-time"", ""xom:xom"", ""jdom:jdom"", ""dom4j:dom4j"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.1""",1158675715000,"""1.1""","""2006-09-19T14:21:55Z""",8,"[""com.megginson.sax:xml-writer"", ""joda-time:joda-time"", ""xom:xom"", ""jdom:jdom"", ""stax:stax-api"", ""stax:stax"", ""dom4j:dom4j"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.1.2""",1158675715000,"""1.1.2""","""2006-09-19T14:21:55Z""",8,"[""stax:stax"", ""com.megginson.sax:xml-writer"", ""joda-time:joda-time"", ""jdom:jdom"", ""xom:xom"", ""xpp3:xpp3_min"", ""stax:stax-api"", ""dom4j:dom4j""]"
"""com.thoughtworks.xstream:xstream:1.1.3""",1158675715000,"""1.1.3""","""2006-09-19T14:21:55Z""",8,"[""jdom:jdom"", ""joda-time:joda-time"", ""com.megginson.sax:xml-writer"", ""xom:xom"", ""dom4j:dom4j"", ""stax:stax-api"", ""stax:stax"", ""xpp3:xpp3_min""]"
"""com.thoughtworks.xstream:xstream:1.2.1""",1163251274000,"""1.2.1""","""2006-11-11T13:21:14Z""",13,"[""commons-lang:commons-lang"", ""junit:junit"", ""cglib:cglib-nodep"", ""dom4j:dom4j"", ""jmock:jmock"", ""oro:oro"", ""com.megginson.sax:xml-writer"", ""joda-time:joda-time"", ""xpp3:xpp3_min"", ""stax:stax-api"", ""xom:xom"", ""stax:stax"", ""jdom:jdom""]"
"""com.thoughtworks.xstream:xstream:1.2.2""",1179994732000,"""1.2.2""","""2007-05-24T08:18:52Z""",15,"[""oro:oro"", ""org.codehaus.woodstox:wstx-asl"", ""org.codehaus.jettison:jettison"", ""cglib:cglib-nodep"", ""com.megginson.sax:xml-writer"", ""xpp3:xpp3_min"", ""xom:xom"", ""junit:junit"", ""stax:stax-api"", ""commons-lang:commons-lang"", ""jmock:jmock"", ""stax:stax"", ""jdom:jdom"", ""joda-time:joda-time"", ""dom4j:dom4j""]"
"""com.thoughtworks.xstream:xstream:1.3""",1204066247000,"""1.3""","""2008-02-26T22:50:47Z""",15,"[""xpp3:xpp3_min"", ""dom4j:dom4j"", ""joda-time:joda-time"", ""cglib:cglib-nodep"", ""junit:junit"", ""xom:xom"", ""org.codehaus.jettison:jettison"", ""jdom:jdom"", ""commons-lang:commons-lang"", ""oro:oro"", ""com.megginson.sax:xml-writer"", ""jmock:jmock"", ""org.codehaus.woodstox:wstx-asl"", ""stax:stax-api"", ""stax:stax""]"
"""com.thoughtworks.xstream:xstream:1.3.1""",1228578615000,"""1.3.1""","""2008-12-06T15:50:15Z""",15,"[""com.megginson.sax:xml-writer"", ""joda-time:joda-time"", ""stax:stax"", ""org.codehaus.jettison:jettison"", ""xpp3:xpp3_min"", ""xom:xom"", ""cglib:cglib-nodep"", ""jmock:jmock"", ""commons-lang:commons-lang"", ""oro:oro"", ""org.jdom:jdom"", ""junit:junit"", ""stax:stax-api"", ""org.codehaus.woodstox:wstx-asl"", ""dom4j:dom4j""]"
"""com.thoughtworks.xstream:xstream:1.4""",1312590769000,"""1.4""","""2011-08-06T00:32:49Z""",18,"[""cglib:cglib-nodep"", ""org.codehaus.jettison:jettison"", ""org.codehaus.woodstox:wstx-asl"", ""com.megginson.sax:xml-writer"", ""xmlpull:xmlpull"", ""commons-lang:commons-lang"", ""net.sf.kxml:kxml2-min"", ""junit:junit"", ""oro:oro"", ""jmock:jmock"", ""xom:xom"", ""org.json:json"", ""joda-time:joda-time"", ""xpp3:xpp3_min"", ""stax:stax-api"", ""stax:stax"", ""org.jdom:jdom"", ""dom4j:dom4j""]"
