releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.0""",1605198588000,"""2.4.0""","""2020-11-12T16:29:48Z""",3,"[""org.springframework.data:spring-data-mongodb"", ""org.mongodb:mongodb-driver-sync"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.1""",1607674074000,"""2.4.1""","""2020-12-11T08:07:54Z""",3,"[""org.springframework.boot:spring-boot-starter"", ""org.springframework.data:spring-data-mongodb"", ""org.mongodb:mongodb-driver-sync""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.2""",1610684513000,"""2.4.2""","""2021-01-15T04:21:53Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.3""",1613660835000,"""2.4.3""","""2021-02-18T15:07:15Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.4""",1616059772000,"""2.4.4""","""2021-03-18T09:29:32Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.5""",1618488478000,"""2.4.5""","""2021-04-15T12:07:58Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.6""",1621508138000,"""2.4.6""","""2021-05-20T10:55:38Z""",3,"[""org.springframework.boot:spring-boot-starter"", ""org.springframework.data:spring-data-mongodb"", ""org.mongodb:mongodb-driver-sync""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.5.0""",1621554914000,"""2.5.0""","""2021-05-20T23:55:14Z""",3,"[""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter"", ""org.mongodb:mongodb-driver-sync""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.7""",1623326245000,"""2.4.7""","""2021-06-10T11:57:25Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.5.1""",1623350315000,"""2.5.1""","""2021-06-10T18:38:35Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.8""",1624535607000,"""2.4.8""","""2021-06-24T11:53:27Z""",3,"[""org.springframework.boot:spring-boot-starter"", ""org.springframework.data:spring-data-mongodb"", ""org.mongodb:mongodb-driver-sync""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.5.2""",1624577232000,"""2.5.2""","""2021-06-24T23:27:12Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.4.9""",1626949959000,"""2.4.9""","""2021-07-22T10:32:39Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
"""org.springframework.boot:spring-boot-starter-data-mongodb:2.5.3""",1626963047000,"""2.5.3""","""2021-07-22T14:10:47Z""",3,"[""org.mongodb:mongodb-driver-sync"", ""org.springframework.data:spring-data-mongodb"", ""org.springframework.boot:spring-boot-starter""]"
