releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""io.kubernetes:client-java:0.2""",1506354468000,"""0.2""","""2017-09-25T15:47:48Z""",11,"[""commons-codec:commons-codec"", ""com.squareup.okhttp:okhttp-ws"", ""com.google.guava:guava"", ""io.kubernetes:client-java-proto"", ""commons-lang:commons-lang"", ""com.github.stefanbirkner:system-rules"", ""com.google.protobuf:protobuf-java"", ""junit:junit"", ""log4j:log4j"", ""org.yaml:snakeyaml"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:1.0.0-beta1""",1507137715000,"""1.0.0-beta1""","""2017-10-04T17:21:55Z""",11,"[""commons-codec:commons-codec"", ""com.google.guava:guava"", ""com.google.protobuf:protobuf-java"", ""org.yaml:snakeyaml"", ""junit:junit"", ""com.github.stefanbirkner:system-rules"", ""log4j:log4j"", ""commons-lang:commons-lang"", ""com.squareup.okhttp:okhttp-ws"", ""io.kubernetes:client-java-proto"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:1.0.0-beta2""",1516398594000,"""1.0.0-beta2""","""2018-01-19T21:49:54Z""",11,"[""com.google.guava:guava"", ""log4j:log4j"", ""com.google.protobuf:protobuf-java"", ""org.yaml:snakeyaml"", ""junit:junit"", ""com.squareup.okhttp:okhttp-ws"", ""com.github.stefanbirkner:system-rules"", ""commons-codec:commons-codec"", ""org.apache.commons:commons-lang3"", ""io.kubernetes:client-java-proto"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:1.0.0-beta3""",1521868701000,"""1.0.0-beta3""","""2018-03-24T05:18:21Z""",15,"[""com.github.stefanbirkner:system-rules"", ""org.slf4j:slf4j-api"", ""org.mockito:mockito-core"", ""org.bouncycastle:bcpkix-jdk15on"", ""com.google.guava:guava"", ""ch.qos.logback:logback-classic"", ""org.apache.commons:commons-lang3"", ""com.google.protobuf:protobuf-java"", ""io.kubernetes:client-java-proto"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""junit:junit"", ""com.squareup.okhttp:okhttp-ws"", ""commons-codec:commons-codec"", ""org.yaml:snakeyaml"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:1.0.0-beta4""",1522863189000,"""1.0.0-beta4""","""2018-04-04T17:33:09Z""",15,"[""commons-codec:commons-codec"", ""com.github.stefanbirkner:system-rules"", ""junit:junit"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""com.google.protobuf:protobuf-java"", ""org.slf4j:slf4j-api"", ""org.yaml:snakeyaml"", ""com.squareup.okhttp:okhttp-ws"", ""org.mockito:mockito-core"", ""org.bouncycastle:bcpkix-jdk15on"", ""ch.qos.logback:logback-classic"", ""com.google.guava:guava"", ""org.apache.commons:commons-lang3"", ""io.kubernetes:client-java-proto"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:1.0.0""",1524252234000,"""1.0.0""","""2018-04-20T19:23:54Z""",15,"[""junit:junit"", ""commons-codec:commons-codec"", ""org.slf4j:slf4j-api"", ""org.apache.commons:commons-lang3"", ""org.yaml:snakeyaml"", ""ch.qos.logback:logback-classic"", ""com.github.stefanbirkner:system-rules"", ""org.bouncycastle:bcpkix-jdk15on"", ""com.google.protobuf:protobuf-java"", ""com.google.guava:guava"", ""org.mockito:mockito-core"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""com.squareup.okhttp:okhttp-ws"", ""io.kubernetes:client-java-api"", ""io.kubernetes:client-java-proto""]"
"""io.kubernetes:client-java:2.0.0-beta1""",1526962124000,"""2.0.0-beta1""","""2018-05-22T04:08:44Z""",15,"[""com.squareup.okhttp:okhttp-ws"", ""org.yaml:snakeyaml"", ""junit:junit"", ""com.google.protobuf:protobuf-java"", ""org.bouncycastle:bcpkix-jdk15on"", ""org.mockito:mockito-core"", ""org.slf4j:slf4j-api"", ""com.github.stefanbirkner:system-rules"", ""ch.qos.logback:logback-classic"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""com.google.guava:guava"", ""org.apache.commons:commons-lang3"", ""commons-codec:commons-codec"", ""io.kubernetes:client-java-proto"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:2.0.0-beta2""",1531505843000,"""2.0.0-beta2""","""2018-07-13T18:17:23Z""",15,"[""org.apache.commons:commons-lang3"", ""org.yaml:snakeyaml"", ""org.slf4j:slf4j-api"", ""commons-codec:commons-codec"", ""org.mockito:mockito-core"", ""org.bouncycastle:bcpkix-jdk15on"", ""com.github.stefanbirkner:system-rules"", ""com.google.protobuf:protobuf-java"", ""ch.qos.logback:logback-classic"", ""junit:junit"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""com.squareup.okhttp:okhttp-ws"", ""com.google.guava:guava"", ""io.kubernetes:client-java-api"", ""io.kubernetes:client-java-proto""]"
"""io.kubernetes:client-java:2.0.0""",1531541309000,"""2.0.0""","""2018-07-14T04:08:29Z""",15,"[""com.github.stefanbirkner:system-rules"", ""com.google.guava:guava"", ""org.slf4j:slf4j-api"", ""io.kubernetes:client-java-proto"", ""com.squareup.okhttp:okhttp-ws"", ""org.mockito:mockito-core"", ""junit:junit"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""com.google.protobuf:protobuf-java"", ""ch.qos.logback:logback-classic"", ""org.yaml:snakeyaml"", ""org.bouncycastle:bcpkix-jdk15on"", ""org.apache.commons:commons-lang3"", ""commons-codec:commons-codec"", ""io.kubernetes:client-java-api""]"
"""io.kubernetes:client-java:3.0.0-beta1""",1532667506000,"""3.0.0-beta1""","""2018-07-27T04:58:26Z""",16,"[""com.squareup.okhttp:okhttp-ws"", ""ch.qos.logback:logback-classic"", ""com.microsoft.azure:adal4j"", ""com.github.stefanbirkner:system-rules"", ""commons-codec:commons-codec"", ""org.slf4j:slf4j-api"", ""org.bouncycastle:bcprov-ext-jdk15on"", ""org.bouncycastle:bcpkix-jdk15on"", ""com.google.protobuf:protobuf-java"", ""org.mockito:mockito-core"", ""junit:junit"", ""com.google.guava:guava"", ""org.apache.commons:commons-lang3"", ""org.yaml:snakeyaml"", ""io.kubernetes:client-java-proto"", ""io.kubernetes:client-java-api""]"
