releaseID,releaseUnixTime,releaseVersion,releaseDate,dependencyCount,dependencyArtIDs
"""com.facebook.presto:presto-spi:0.52""",1383706447000,"""0.52""","""2013-11-06T02:54:07Z""",1,"[""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.53""",1384063094000,"""0.53""","""2013-11-10T05:58:14Z""",1,"[""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.54""",1385439673000,"""0.54""","""2013-11-26T04:21:13Z""",1,"[""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.55""",1387589506000,"""0.55""","""2013-12-21T01:31:46Z""",5,"[""com.fasterxml.jackson.core:jackson-core"", ""com.google.guava:guava"", ""org.testng:testng"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.56""",1388477464000,"""0.56""","""2013-12-31T08:11:04Z""",5,"[""com.google.guava:guava"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.fasterxml.jackson.core:jackson-core"", ""org.testng:testng"", ""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.57""",1389764239000,"""0.57""","""2014-01-15T05:37:19Z""",5,"[""org.testng:testng"", ""com.google.guava:guava"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.fasterxml.jackson.core:jackson-core"", ""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.58""",1390539315000,"""0.58""","""2014-01-24T04:55:15Z""",5,"[""com.fasterxml.jackson.core:jackson-annotations"", ""org.testng:testng"", ""com.google.guava:guava"", ""com.fasterxml.jackson.core:jackson-core"", ""com.fasterxml.jackson.core:jackson-databind""]"
"""com.facebook.presto:presto-spi:0.59""",1390970093000,"""0.59""","""2014-01-29T04:34:53Z""",5,"[""org.testng:testng"", ""com.google.guava:guava"", ""com.fasterxml.jackson.core:jackson-core"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.60""",1392179617000,"""0.60""","""2014-02-12T04:33:37Z""",5,"[""com.fasterxml.jackson.core:jackson-core"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.google.guava:guava"", ""org.testng:testng"", ""com.fasterxml.jackson.core:jackson-annotations""]"
"""com.facebook.presto:presto-spi:0.61""",1394694907000,"""0.61""","""2014-03-13T07:15:07Z""",5,"[""com.google.guava:guava"", ""org.testng:testng"", ""com.fasterxml.jackson.core:jackson-core"", ""com.fasterxml.jackson.core:jackson-databind"", ""com.fasterxml.jackson.core:jackson-annotations""]"
