releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""ch.qos.logback:logback-classic""","""0.6""",1,"""2006-11-30T22:42:47Z""",1164926567000
"""ch.qos.logback:logback-classic""","""0.7""",2,"""2006-12-18T13:27:40Z""",1166448460000
"""ch.qos.logback:logback-classic""","""0.7.1""",2,"""2006-12-19T14:18:28Z""",1166537908000
"""ch.qos.logback:logback-classic""","""0.8""",2,"""2007-01-12T17:12:12Z""",1168621932000
"""ch.qos.logback:logback-classic""","""0.8.1""",2,"""2007-01-23T14:32:47Z""",1169562767000
"""ch.qos.logback:logback-classic""","""0.9""",2,"""2007-01-31T13:38:57Z""",1170250737000
"""ch.qos.logback:logback-classic""","""0.9.1""",2,"""2007-03-05T11:06:51Z""",1173092811000
"""ch.qos.logback:logback-classic""","""0.9.2""",2,"""2007-03-05T11:52:27Z""",1173095547000
"""ch.qos.logback:logback-classic""","""0.9.3""",2,"""2007-03-20T13:49:38Z""",1174398578000
"""ch.qos.logback:logback-classic""","""0.9.4""",2,"""2007-03-29T16:02:20Z""",1175184140000
"""ch.qos.logback:logback-classic""","""0.9.5""",3,"""2007-04-02T19:41:01Z""",1175542861000
"""ch.qos.logback:logback-classic""","""0.9.6""",25,"""2007-05-24T18:12:21Z""",1180030341000
"""ch.qos.logback:logback-classic""","""0.9.7""",2,"""2007-05-29T19:28:35Z""",1180466915000
"""ch.qos.logback:logback-classic""","""0.9.8""",22,"""2007-08-22T19:47:31Z""",1187812051000
"""ch.qos.logback:logback-classic""","""0.9.9""",85,"""2008-03-26T21:23:10Z""",1206566590000
"""ch.qos.logback:logback-classic""","""0.9.10""",1,"""2008-10-27T20:35:27Z""",1225139727000
"""ch.qos.logback:logback-classic""","""0.9.11""",17,"""2008-10-28T10:34:22Z""",1225190062000
"""ch.qos.logback:logback-classic""","""0.9.12""",1,"""2008-12-04T22:49:12Z""",1228430952000
"""ch.qos.logback:logback-classic""","""0.9.13""",1,"""2008-12-05T10:23:59Z""",1228472639000
"""ch.qos.logback:logback-classic""","""0.9.14""",37,"""2008-12-29T16:59:20Z""",1230569960000
"""ch.qos.logback:logback-classic""","""0.9.15""",1008,"""2009-02-12T23:00:36Z""",1234479636000
"""ch.qos.logback:logback-classic""","""0.9.16""",26,"""2009-07-17T09:53:34Z""",1247824414000
"""ch.qos.logback:logback-classic""","""0.9.17""",435,"""2009-08-09T19:05:43Z""",1249844743000
"""ch.qos.logback:logback-classic""","""0.9.18""",535,"""2009-12-03T20:41:43Z""",1259872903000
"""ch.qos.logback:logback-classic""","""0.9.19""",84,"""2010-03-24T19:51:45Z""",1269460305000
"""ch.qos.logback:logback-classic""","""0.9.20""",333,"""2010-04-01T21:48:46Z""",1270158526000
"""ch.qos.logback:logback-classic""","""0.9.21""",176,"""2010-05-08T17:05:14Z""",1273338314000
"""ch.qos.logback:logback-classic""","""0.9.22""",2,"""2010-06-21T16:50:51Z""",1277139051000
"""ch.qos.logback:logback-classic""","""0.9.23""",1,"""2010-06-29T13:52:00Z""",1277819520000
"""ch.qos.logback:logback-classic""","""0.9.24""",1853,"""2010-06-30T20:54:44Z""",1277931284000
"""ch.qos.logback:logback-classic""","""0.9.25""",63,"""2010-10-13T21:36:52Z""",1287005812000
"""ch.qos.logback:logback-classic""","""0.9.26""",1268,"""2010-10-20T21:41:32Z""",1287610892000
"""ch.qos.logback:logback-classic""","""0.9.27""",207,"""2010-12-22T22:06:16Z""",1293055576000
"""ch.qos.logback:logback-classic""","""0.9.28""",1888,"""2011-01-25T22:12:51Z""",1295993571000
"""ch.qos.logback:logback-classic""","""0.9.29""",1204,"""2011-06-09T22:08:46Z""",1307657326000
"""ch.qos.logback:logback-classic""","""0.9.30""",6391,"""2011-09-20T22:21:45Z""",1316557305000
"""ch.qos.logback:logback-classic""","""1.0.0""",5298,"""2011-11-01T17:18:20Z""",1320167900000
"""ch.qos.logback:logback-classic""","""1.0.1""",1049,"""2012-03-07T07:00:38Z""",1331103638000
"""ch.qos.logback:logback-classic""","""1.0.2""",157,"""2012-04-26T13:13:48Z""",1335446028000
"""ch.qos.logback:logback-classic""","""1.0.3""",826,"""2012-05-03T22:38:09Z""",1336084689000
"""ch.qos.logback:logback-classic""","""1.0.4""",125,"""2012-05-31T21:19:39Z""",1338499179000
"""ch.qos.logback:logback-classic""","""1.0.5""",12,"""2012-06-05T22:19:15Z""",1338934755000
"""ch.qos.logback:logback-classic""","""1.0.6""",2502,"""2012-06-07T20:42:38Z""",1339101758000
"""ch.qos.logback:logback-classic""","""1.0.7""",3390,"""2012-08-23T22:13:46Z""",1345760026000
"""ch.qos.logback:logback-classic""","""1.0.8""",4,"""2012-12-04T20:48:56Z""",1354654136000
"""ch.qos.logback:logback-classic""","""1.0.9""",9574,"""2012-12-04T23:15:15Z""",1354662915000
"""ch.qos.logback:logback-classic""","""1.0.10""",786,"""2013-03-15T17:13:53Z""",1363367633000
"""ch.qos.logback:logback-classic""","""1.0.11""",1196,"""2013-03-25T15:02:38Z""",1364223758000
"""ch.qos.logback:logback-classic""","""1.0.12""",9891,"""2013-04-26T16:31:17Z""",1366993877000
