releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.assertj:assertj-core""","""1.0.0""",9,"""2013-03-26T08:54:34Z""",1364288074000
"""org.assertj:assertj-core""","""1.1.0""",75,"""2013-04-14T19:40:37Z""",1365968437000
"""org.assertj:assertj-core""","""1.2.0""",33,"""2013-05-12T15:45:16Z""",1368373516000
"""org.assertj:assertj-core""","""1.3.0""",31,"""2013-06-30T15:36:00Z""",1372606560000
"""org.assertj:assertj-core""","""1.4.0""",468,"""2013-09-15T16:13:24Z""",1379261604000
"""org.assertj:assertj-core""","""1.5.0""",1500,"""2013-11-06T20:56:35Z""",1383771395000
"""org.assertj:assertj-core""","""1.6.0""",1088,"""2014-03-15T10:32:43Z""",1394879563000
"""org.assertj:assertj-core""","""1.6.1""",1786,"""2014-06-01T21:01:58Z""",1401656518000
"""org.assertj:assertj-core""","""1.7.0""",7222,"""2014-10-04T04:49:43Z""",1412398183000
"""org.assertj:assertj-core""","""1.7.1""",4339,"""2015-01-01T22:19:08Z""",1420150748000
"""org.assertj:assertj-core""","""2.0.0""",1969,"""2015-03-07T03:51:45Z""",1425700305000
"""org.assertj:assertj-core""","""3.0.0""",790,"""2015-04-06T06:32:47Z""",1428301967000
"""org.assertj:assertj-core""","""2.1.0""",890,"""2015-06-10T08:38:14Z""",1433925494000
"""org.assertj:assertj-core""","""3.1.0""",2236,"""2015-06-25T07:33:32Z""",1435217612000
"""org.assertj:assertj-core""","""2.2.0""",2127,"""2015-09-02T22:29:07Z""",1441232947000
"""org.assertj:assertj-core""","""3.2.0""",1733,"""2015-09-21T10:05:35Z""",1442829935000
"""org.assertj:assertj-core""","""2.3.0""",877,"""2016-01-02T03:29:33Z""",1451705373000
"""org.assertj:assertj-core""","""3.3.0""",4689,"""2016-01-10T04:39:48Z""",1452400788000
"""org.assertj:assertj-core""","""2.4.0""",65,"""2016-03-28T05:04:42Z""",1459141482000
"""org.assertj:assertj-core""","""3.4.0""",1574,"""2016-03-30T07:52:39Z""",1459324359000
"""org.assertj:assertj-core""","""2.4.1""",12747,"""2016-04-09T21:53:40Z""",1460238820000
"""org.assertj:assertj-core""","""3.4.1""",3853,"""2016-04-09T22:18:25Z""",1460240305000
"""org.assertj:assertj-core""","""2.5.0""",2339,"""2016-07-03T07:04:43Z""",1467529483000
"""org.assertj:assertj-core""","""3.5.0""",27,"""2016-07-03T07:16:33Z""",1467530193000
"""org.assertj:assertj-core""","""3.5.1""",1732,"""2016-07-03T09:03:31Z""",1467536611000
"""org.assertj:assertj-core""","""3.5.2""",4979,"""2016-07-16T22:09:44Z""",1468706984000
"""org.assertj:assertj-core""","""2.6.0""",5497,"""2016-11-21T07:49:43Z""",1479714583000
"""org.assertj:assertj-core""","""3.6.0""",94,"""2016-11-21T08:44:58Z""",1479717898000
"""org.assertj:assertj-core""","""3.6.1""",2804,"""2016-11-26T23:58:50Z""",1480204730000
"""org.assertj:assertj-core""","""3.6.2""",8053,"""2017-01-21T08:44:22Z""",1484988262000
"""org.assertj:assertj-core""","""2.7.0""",60,"""2017-05-07T06:13:50Z""",1494137630000
"""org.assertj:assertj-core""","""3.7.0""",1376,"""2017-05-07T06:22:31Z""",1494138151000
"""org.assertj:assertj-core""","""2.8.0""",387,"""2017-05-21T02:39:15Z""",1495334355000
"""org.assertj:assertj-core""","""3.8.0""",172919,"""2017-05-21T02:49:47Z""",1495334987000
"""org.assertj:assertj-core""","""2.9.0""",394,"""2018-01-02T05:43:03Z""",1514871783000
"""org.assertj:assertj-core""","""3.9.0""",6515,"""2018-01-02T07:27:41Z""",1514878061000
"""org.assertj:assertj-core""","""3.9.1""",14328,"""2018-02-21T09:40:22Z""",1519206022000
"""org.assertj:assertj-core""","""2.9.1""",7446,"""2018-05-12T05:30:28Z""",1526103028000
"""org.assertj:assertj-core""","""3.10.0""",7276,"""2018-05-12T06:37:54Z""",1526107074000
