artifactID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.slf4j:slf4j-simple""","""1.0-beta7""",7,"""2005-09-01T00:03:35Z""",1125533015000
"""org.slf4j:slf4j-simple""","""1.0-beta9""",4,"""2005-10-20T00:02:54Z""",1129766574000
"""org.slf4j:slf4j-simple""","""1.0-rc1""",6,"""2005-12-20T16:19:53Z""",1135095593000
"""org.slf4j:slf4j-simple""","""1.0-rc5""",30,"""2006-01-17T05:32:15Z""",1137475935000
"""org.slf4j:slf4j-simple""","""1.0""",41,"""2006-03-10T21:31:14Z""",1142026274000
"""org.slf4j:slf4j-simple""","""1.0.1""",45,"""2006-05-10T03:04:34Z""",1147230274000
"""org.slf4j:slf4j-simple""","""1.1.0-beta0""",2,"""2006-09-17T07:07:06Z""",1158476826000
"""org.slf4j:slf4j-simple""","""1.1.0-RC1""",8,"""2006-11-16T22:48:38Z""",1163717318000
"""org.slf4j:slf4j-simple""","""1.1.0""",1,"""2006-12-20T22:31:56Z""",1166653916000
"""org.slf4j:slf4j-simple""","""1.2""",43,"""2007-01-24T20:17:00Z""",1169669820000
"""org.slf4j:slf4j-simple""","""1.3.0""",67,"""2007-02-25T16:39:39Z""",1172421579000
"""org.slf4j:slf4j-simple""","""1.3.1""",64,"""2007-04-15T20:08:46Z""",1176667726000
"""org.slf4j:slf4j-simple""","""1.4.0""",3,"""2007-05-22T17:40:36Z""",1179855636000
"""org.slf4j:slf4j-simple""","""1.4.1""",2,"""2007-07-04T19:29:22Z""",1183577362000
"""org.slf4j:slf4j-simple""","""1.4.2""",26,"""2007-07-12T20:28:55Z""",1184272135000
"""org.slf4j:slf4j-simple""","""1.4.3""",343,"""2007-08-20T21:35:40Z""",1187645740000
"""org.slf4j:slf4j-simple""","""1.5.0-M0""",5,"""2008-01-29T21:38:58Z""",1201642738000
"""org.slf4j:slf4j-simple""","""1.5.0""",229,"""2008-02-26T20:19:42Z""",1204057182000
"""org.slf4j:slf4j-simple""","""1.5.2""",951,"""2008-06-09T15:46:12Z""",1213026372000
"""org.slf4j:slf4j-simple""","""1.5.3""",67,"""2008-09-12T15:36:24Z""",1221233784000
"""org.slf4j:slf4j-simple""","""1.5.5""",1225,"""2008-10-17T15:54:39Z""",1224258879000
"""org.slf4j:slf4j-simple""","""1.5.6""",1112,"""2008-11-21T13:56:45Z""",1227275805000
"""org.slf4j:slf4j-simple""","""1.5.8""",1428,"""2009-06-11T11:58:04Z""",1244721484000
"""org.slf4j:slf4j-simple""","""1.5.9.RC1""",14,"""2009-10-29T18:37:06Z""",1256841426000
"""org.slf4j:slf4j-simple""","""1.5.10""",1283,"""2009-12-02T23:37:24Z""",1259797044000
"""org.slf4j:slf4j-simple""","""1.5.11""",690,"""2010-02-25T11:50:51Z""",1267098651000
"""org.slf4j:slf4j-simple""","""1.6.0""",412,"""2010-05-08T10:45:37Z""",1273315537000
"""org.slf4j:slf4j-simple""","""1.6.1""",7709,"""2010-07-05T20:29:32Z""",1278361772000
"""org.slf4j:slf4j-simple""","""1.6.2""",365,"""2011-08-18T22:13:19Z""",1313705599000
"""org.slf4j:slf4j-simple""","""1.6.3""",174,"""2011-10-17T19:55:30Z""",1318881330000
"""org.slf4j:slf4j-simple""","""1.6.4""",2790,"""2011-10-31T22:45:48Z""",1320101148000
"""org.slf4j:slf4j-simple""","""1.6.5""",476,"""2012-06-04T06:18:45Z""",1338790725000
"""org.slf4j:slf4j-simple""","""1.6.6""",1281,"""2012-06-11T14:41:58Z""",1339425718000
"""org.slf4j:slf4j-simple""","""1.7.0""",2413,"""2012-09-06T21:54:58Z""",1346968498000
"""org.slf4j:slf4j-simple""","""1.7.1""",367,"""2012-09-14T21:11:37Z""",1347657097000
"""org.slf4j:slf4j-simple""","""1.7.2""",3109,"""2012-10-11T18:55:37Z""",1349981737000
"""org.slf4j:slf4j-simple""","""1.7.3""",7,"""2013-03-15T10:25:00Z""",1363343100000
"""org.slf4j:slf4j-simple""","""1.7.4""",273,"""2013-03-18T14:49:04Z""",1363618144000
"""org.slf4j:slf4j-simple""","""1.7.5""",6712,"""2013-03-25T20:52:25Z""",1364244745000
"""org.slf4j:slf4j-simple""","""1.7.6""",1917,"""2014-02-05T22:37:30Z""",1391639850000
"""org.slf4j:slf4j-simple""","""1.7.7""",11782,"""2014-04-04T11:12:56Z""",1396609976000
"""org.slf4j:slf4j-simple""","""1.7.8""",32,"""2014-12-14T16:54:55Z""",1418576095000
"""org.slf4j:slf4j-simple""","""1.7.9""",201,"""2014-12-16T21:57:59Z""",1418767079000
"""org.slf4j:slf4j-simple""","""1.7.10""",2225,"""2015-01-06T20:11:30Z""",1420575090000
"""org.slf4j:slf4j-simple""","""1.7.11""",12,"""2015-03-26T14:10:30Z""",1427379030000
"""org.slf4j:slf4j-simple""","""1.7.12""",11812,"""2015-03-26T20:50:20Z""",1427403020000
"""org.slf4j:slf4j-simple""","""1.7.13""",2284,"""2015-11-10T20:15:24Z""",1447186524000
"""org.slf4j:slf4j-simple""","""1.7.14""",649,"""2016-01-24T20:47:37Z""",1453668457000
"""org.slf4j:slf4j-simple""","""1.7.15""",133,"""2016-02-09T16:30:08Z""",1455035408000
"""org.slf4j:slf4j-simple""","""1.7.16""",567,"""2016-02-11T20:26:15Z""",1455222375000
"""org.slf4j:slf4j-simple""","""1.7.18""",1088,"""2016-02-26T18:51:40Z""",1456512700000
"""org.slf4j:slf4j-simple""","""1.7.19""",146,"""2016-03-14T21:34:12Z""",1457991252000
"""org.slf4j:slf4j-simple""","""1.7.20""",221,"""2016-03-29T15:12:30Z""",1459264350000
"""org.slf4j:slf4j-simple""","""1.7.21""",29112,"""2016-04-04T18:36:57Z""",1459795017000
"""org.slf4j:slf4j-simple""","""1.7.22""",7463,"""2016-12-13T17:05:31Z""",1481648731000
"""org.slf4j:slf4j-simple""","""1.7.23""",116,"""2017-02-14T22:31:55Z""",1487111515000
"""org.slf4j:slf4j-simple""","""1.7.24""",686,"""2017-02-24T11:05:15Z""",1487934315000
"""org.slf4j:slf4j-simple""","""1.7.25""",72700,"""2017-03-16T16:36:40Z""",1489682200000
"""org.slf4j:slf4j-simple""","""1.8.0-alpha0""",1,"""2017-04-07T09:46:27Z""",1491558387000
"""org.slf4j:slf4j-simple""","""1.8.0-alpha1""",1,"""2017-04-13T13:43:57Z""",1492091037000
"""org.slf4j:slf4j-simple""","""1.8.0-alpha2""",201,"""2017-04-25T22:12:13Z""",1493158333000
"""org.slf4j:slf4j-simple""","""1.8.0-beta0""",45,"""2017-10-20T12:58:57Z""",1508504337000
"""org.slf4j:slf4j-simple""","""1.8.0-beta1""",7,"""2018-01-30T12:23:28Z""",1517315008000
"""org.slf4j:slf4j-simple""","""1.8.0-beta2""",469,"""2018-03-21T22:01:52Z""",1521669712000
"""org.slf4j:slf4j-simple""","""1.7.26""",9807,"""2019-02-18T23:16:37Z""",1550531797000
"""org.slf4j:slf4j-simple""","""1.8.0-beta4""",705,"""2019-02-19T17:30:07Z""",1550597407000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha0""",271,"""2019-06-12T23:18:56Z""",1560381536000
"""org.slf4j:slf4j-simple""","""1.7.27""",152,"""2019-08-06T09:18:27Z""",1565083107000
"""org.slf4j:slf4j-simple""","""1.7.28""",21268,"""2019-08-10T08:27:32Z""",1565425652000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha1""",894,"""2019-10-01T19:09:41Z""",1569956981000
"""org.slf4j:slf4j-simple""","""1.7.29""",7720,"""2019-10-31T12:24:52Z""",1572524692000
"""org.slf4j:slf4j-simple""","""1.7.30""",34542,"""2019-12-16T21:03:46Z""",1576530226000
"""org.slf4j:slf4j-simple""","""1.7.31""",1713,"""2021-06-17T21:35:28Z""",1623965728000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha2""",18,"""2021-07-02T14:57:26Z""",1625237846000
"""org.slf4j:slf4j-simple""","""1.7.32""",59202,"""2021-07-20T11:57:11Z""",1626782231000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha3""",1,"""2021-08-10T13:59:44Z""",1628603984000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha4""",2,"""2021-08-12T21:31:51Z""",1628803911000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha5""",272,"""2021-08-30T16:05:34Z""",1630339534000
"""org.slf4j:slf4j-simple""","""1.7.33""",1087,"""2022-01-13T14:36:43Z""",1642084603000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha6""",73,"""2022-01-13T15:40:17Z""",1642088417000
"""org.slf4j:slf4j-simple""","""1.7.34""",1,"""2022-01-25T08:10:38Z""",1643098238000
"""org.slf4j:slf4j-simple""","""1.7.35""",981,"""2022-01-25T10:39:33Z""",1643107173000
"""org.slf4j:slf4j-simple""","""1.7.36""",34336,"""2022-02-08T13:34:01Z""",1644327241000
"""org.slf4j:slf4j-simple""","""2.0.0-alpha7""",232,"""2022-03-17T18:37:09Z""",1647542229000
"""org.slf4j:slf4j-simple""","""2.0.0-beta0""",2,"""2022-08-05T20:51:39Z""",1659732699000
"""org.slf4j:slf4j-simple""","""2.0.0-beta1""",7,"""2022-08-06T21:34:45Z""",1659821685000
"""org.slf4j:slf4j-simple""","""2.0.0""",868,"""2022-08-20T19:09:08Z""",1661022548000
"""org.slf4j:slf4j-simple""","""2.0.1""",204,"""2022-09-14T14:30:50Z""",1663165850000
"""org.slf4j:slf4j-simple""","""2.0.2""",112,"""2022-09-20T19:40:22Z""",1663702822000
"""org.slf4j:slf4j-simple""","""2.0.3""",1062,"""2022-09-28T10:18:20Z""",1664360300000
"""org.slf4j:slf4j-simple""","""2.0.4""",294,"""2022-11-17T20:26:51Z""",1668716811000
"""org.slf4j:slf4j-simple""","""2.0.5""",697,"""2022-11-25T11:43:11Z""",1669376591000
"""org.slf4j:slf4j-simple""","""2.0.6""",2895,"""2022-12-12T19:14:01Z""",1670872441000
"""org.slf4j:slf4j-simple""","""2.0.7""",10225,"""2023-03-17T19:37:12Z""",1679081832000
"""org.slf4j:slf4j-simple""","""2.0.8""",2,"""2023-09-03T15:23:52Z""",1693754632000
"""org.slf4j:slf4j-simple""","""2.0.9""",7396,"""2023-09-03T16:14:47Z""",1693757687000
"""org.slf4j:slf4j-simple""","""2.1.0-alpha0""",3,"""2023-12-28T19:41:58Z""",1703792518000
"""org.slf4j:slf4j-simple""","""2.0.10""",168,"""2023-12-28T20:50:53Z""",1703796653000
"""org.slf4j:slf4j-simple""","""2.1.0-alpha1""",31,"""2024-01-02T19:24:48Z""",1704223488000
"""org.slf4j:slf4j-simple""","""2.0.11""",797,"""2024-01-08T18:02:09Z""",1704736929000
"""org.slf4j:slf4j-simple""","""2.0.12""",7823,"""2024-02-05T21:33:23Z""",1707168803000
"""org.slf4j:slf4j-simple""","""2.0.13""",5155,"""2024-04-12T14:24:16Z""",1712931856000
"""org.slf4j:slf4j-simple""","""2.0.14""",22,"""2024-08-06T20:33:50Z""",1722976430000
"""org.slf4j:slf4j-simple""","""2.0.15""",124,"""2024-08-08T12:59:58Z""",1723121998000
"""org.slf4j:slf4j-simple""","""2.0.16""",170,"""2024-08-10T09:15:21Z""",1723281321000
