artifactID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.springframework:spring-aspects""","""2.0-m4""",2,"""2006-04-23T19:33:57Z""",1145820837000
"""org.springframework:spring-aspects""","""2.0.1""",1,"""2006-11-25T22:33:13Z""",1164493993000
"""org.springframework:spring-aspects""","""2.0.2""",13,"""2007-01-09T18:33:26Z""",1168367606000
"""org.springframework:spring-aspects""","""2.0.3""",2,"""2007-03-09T22:37:06Z""",1173479826000
"""org.springframework:spring-aspects""","""2.0.6""",2,"""2007-06-19T17:56:24Z""",1182275784000
"""org.springframework:spring-aspects""","""2.5""",2,"""2007-11-20T02:49:18Z""",1195526958000
"""org.springframework:spring-aspects""","""2.5.1""",5,"""2008-01-10T02:58:29Z""",1199933909000
"""org.springframework:spring-aspects""","""2.5.4""",1,"""2008-04-28T17:53:43Z""",1209405223000
"""org.springframework:spring-aspects""","""2.5.5""",22,"""2008-06-23T17:29:14Z""",1214242154000
"""org.springframework:spring-aspects""","""2.5.6""",122,"""2008-11-02T01:45:26Z""",1225590326000
"""org.springframework:spring-aspects""","""2.5.6.SEC01""",1,"""2009-04-22T22:56:30Z""",1240440990000
"""org.springframework:spring-aspects""","""3.0.0.RELEASE""",16,"""2009-12-17T00:07:57Z""",1261008477000
"""org.springframework:spring-aspects""","""3.0.2.RELEASE""",3,"""2010-04-02T22:48:33Z""",1270248513000
"""org.springframework:spring-aspects""","""3.0.3.RELEASE""",15,"""2010-06-15T22:51:56Z""",1276642316000
"""org.springframework:spring-aspects""","""3.0.4.RELEASE""",25,"""2010-08-19T23:08:16Z""",1282259296000
"""org.springframework:spring-aspects""","""3.0.5.RELEASE""",499,"""2010-10-20T22:50:31Z""",1287615031000
"""org.springframework:spring-aspects""","""3.0.6.RELEASE""",8,"""2011-08-19T13:56:42Z""",1313762202000
"""org.springframework:spring-aspects""","""2.5.6.SEC03""",3,"""2011-09-09T22:43:42Z""",1315608222000
"""org.springframework:spring-aspects""","""3.1.0.RELEASE""",415,"""2011-12-13T16:42:42Z""",1323794562000
"""org.springframework:spring-aspects""","""3.0.7.RELEASE""",41,"""2011-12-23T23:40:28Z""",1324683628000
"""org.springframework:spring-aspects""","""3.1.1.RELEASE""",118,"""2012-02-16T23:42:46Z""",1329435766000
"""org.springframework:spring-aspects""","""3.1.2.RELEASE""",48,"""2012-07-07T22:44:05Z""",1341701045000
"""org.springframework:spring-aspects""","""3.1.3.RELEASE""",11,"""2012-10-31T18:34:04Z""",1351708444000
